Factor, Method, F-score, Precision, Recall
1,class_weighted,0.9927,0.9887,0.9967
1,class_weighted,0.9935,0.9903,0.9967
1,class_weighted,0.9910,0.9902,0.9918
1,class_weighted,0.9902,0.9886,0.9918
1,class_weighted,0.9886,0.9871,0.9902
1,class_weighted,0.9918,0.9886,0.9951
1,class_weighted,0.9926,0.9902,0.9951
1,class_weighted,0.9902,0.9870,0.9934
1,class_weighted,0.9935,0.9903,0.9967
1,class_weighted,0.9893,0.9886,0.9902
1,class_weighted,0.9902,0.9886,0.9918
1,class_weighted,0.9927,0.9873,0.9984
1,class_weighted,0.9868,0.9870,0.9869
1,class_weighted,0.9910,0.9887,0.9934
2,class_weighted,0.9868,0.9903,0.9836
2,class_weighted,0.9927,0.9871,0.9984
3,class_weighted,0.9927,0.9887,0.9967
3,class_weighted,0.9926,0.9903,0.9951
3,class_weighted,0.9918,0.9887,0.9951
1,class_weighted,0.9886,0.9855,0.9918
1,class_weighted,0.9935,0.9888,0.9984
1,class_weighted,0.9911,0.9871,0.9951
1,class_weighted,0.9910,0.9855,0.9967
1,class_weighted,0.9935,0.9903,0.9967
2,class_weighted,0.9927,0.9872,0.9984
2,class_weighted,0.9943,0.9903,0.9984
1,class_weighted,0.9902,0.9886,0.9918
2,class_weighted,0.9910,0.9886,0.9934
2,class_weighted,0.9927,0.9871,0.9984
2,class_weighted,0.9918,0.9887,0.9951
2,class_weighted,0.9918,0.9887,0.9951
2,class_weighted,0.9910,0.9886,0.9934
2,class_weighted,0.9918,0.9904,0.9934
2,class_weighted,0.9935,0.9887,0.9984
3,class_weighted,0.9918,0.9871,0.9967
3,class_weighted,0.9935,0.9903,0.9967
2,class_weighted,0.9935,0.9887,0.9984
2,class_weighted,0.9918,0.9887,0.9951
2,class_weighted,0.9919,0.9855,0.9984
2,class_weighted,0.9909,0.9918,0.9902
2,class_weighted,0.9943,0.9919,0.9967
2,class_weighted,0.9910,0.9886,0.9934
2,class_weighted,0.9935,0.9903,0.9967
2,class_weighted,0.9910,0.9871,0.9951
2,class_weighted,0.9918,0.9903,0.9934
3,class_weighted,0.9902,0.9870,0.9934
