Factor,Method,F1-Score,Correlation,Strength
1,class_weighted,0.9680,0.2186,0.9428
1,class_weighted,0.9691,0.3275,0.9441
1,class_weighted,0.9670,0.2302,0.9412
1,class_weighted,0.9642,0.3058,0.9353
1,class_weighted,0.9661,0.1911,0.9400
1,class_weighted,0.9655,0.2346,0.9385
1,class_weighted,0.9675,0.2331,0.9419
1,class_weighted,0.9744,nan,0.9538
1,class_weighted,0.9627,0.2757,0.9335
1,class_weighted,0.9574,0.3521,0.9246
1,class_weighted,0.9716,0.2413,0.9493
1,class_weighted,0.9675,0.1649,0.9420
1,class_weighted,0.9703,0.1516,0.9470
1,class_weighted,0.9669,0.2266,0.9410
2,class_weighted,0.9692,0.3558,0.9458
2,class_weighted,0.9763,nan,0.9579
3,class_weighted,0.9851,nan,0.9736
3,class_weighted,0.9833,nan,0.9706
3,class_weighted,0.9846,nan,0.9725
1,class_weighted,0.9600,0.2341,0.9287
1,class_weighted,0.9689,0.2535,0.9442
1,class_weighted,0.9734,nan,0.9526
1,class_weighted,0.9624,0.2908,0.9326
1,class_weighted,0.9705,0.2785,0.9473
2,class_weighted,0.9798,0.2049,0.9640
2,class_weighted,0.9733,0.1519,0.9521
1,class_weighted,0.9680,0.2721,0.9432
2,class_weighted,0.9754,nan,0.9562
2,class_weighted,0.9806,nan,0.9657
2,class_weighted,0.9842,nan,0.9721
2,class_weighted,0.9773,0.3395,0.9593
2,class_weighted,0.9747,0.2138,0.9548
2,class_weighted,0.9743,0.2941,0.9546
2,class_weighted,0.9766,0.3370,0.9582
3,class_weighted,0.9791,0.2423,0.9626
3,class_weighted,0.9776,nan,0.9596
2,class_weighted,0.9794,0.1984,0.9631
2,class_weighted,0.9767,0.2842,0.9583
2,class_weighted,0.9720,0.2643,0.9501
2,class_weighted,0.9735,0.1882,0.9526
2,class_weighted,0.9822,nan,0.9684
2,class_weighted,0.9805,0.2008,0.9652
2,class_weighted,0.9790,0.2980,0.9623
2,class_weighted,0.9852,nan,0.9737
2,class_weighted,0.9683,nan,0.9436
3,class_weighted,0.9775,0.2180,0.9599
3,class_weighted,0.9702,nan,0.9474
3,class_weighted,0.9718,0.3510,0.9501
3,class_weighted,0.9777,0.2675,0.9603
3,class_weighted,0.9799,0.2227,0.9643
3,class_weighted,0.9824,nan,0.9689
3,class_weighted,0.9609,0.3848,0.9304
3,class_weighted,0.9812,nan,0.9663
3,class_weighted,0.9821,0.2652,0.9681
3,class_weighted,0.9834,nan,0.9703
3,class_weighted,0.9818,0.3520,0.9673
3,class_weighted,0.9767,nan,0.9587
3,class_weighted,0.9872,nan,0.9772
3,class_weighted,0.9729,0.3474,0.9513
3,class_weighted,0.9659,0.3925,0.9386
4,class_weighted,0.9848,nan,0.9733
4,class_weighted,0.9829,0.3727,0.9696
4,class_weighted,0.9781,0.2280,0.9609
4,class_weighted,0.9794,0.3736,0.9629
4,class_weighted,0.9802,0.2546,0.9645
4,class_weighted,0.9683,0.3691,0.9434
4,class_weighted,0.9795,0.4150,0.9632
4,class_weighted,0.9642,0.4786,0.9364
4,class_weighted,0.9858,nan,0.9747
4,class_weighted,0.9726,nan,0.9513
4,class_weighted,0.9816,nan,0.9672
4,class_weighted,0.9803,0.3208,0.9649
4,class_weighted,0.9793,0.2158,0.9635
4,class_weighted,0.9648,0.2621,0.9374
5,class_weighted,0.9802,0.3640,0.9651
5,class_weighted,0.9813,nan,0.9668
4,class_weighted,0.9782,0.2185,0.9611
5,class_weighted,0.9784,0.3340,0.9615
4,class_weighted,0.9718,0.2918,0.9496
5,class_weighted,0.9781,nan,0.9607
4,class_weighted,0.9814,0.2371,0.9670
4,class_weighted,0.9864,nan,0.9760
4,class_weighted,0.9875,nan,0.9776
4,class_weighted,0.9844,nan,0.9719
5,class_weighted,0.9782,0.2896,0.9612
5,class_weighted,0.9777,0.3194,0.9600
5,class_weighted,0.9789,nan,0.9627
5,class_weighted,0.9786,0.3425,0.9616
5,class_weighted,0.9845,nan,0.9725
5,class_weighted,0.9841,nan,0.9717
5,class_weighted,0.9801,0.2866,0.9646
5,class_weighted,0.9848,nan,0.9728
5,class_weighted,0.9820,0.4066,0.9677
5,class_weighted,0.9769,0.2559,0.9589
5,class_weighted,0.9728,0.3667,0.9508
5,class_weighted,0.9816,nan,0.9674
5,class_weighted,0.9767,nan,0.9587
5,class_weighted,0.9807,0.1772,0.9655
5,class_weighted,0.9774,0.2877,0.9599
5,class_weighted,0.9796,nan,0.9640
10,class_weighted,0.9834,0.2309,0.9707
10,class_weighted,0.9797,nan,0.9636
10,class_weighted,0.9808,0.2058,0.9659
10,class_weighted,0.9753,0.3150,0.9559
10,class_weighted,0.9837,nan,0.9711
10,class_weighted,0.9768,0.4329,0.9584
10,class_weighted,0.9760,0.2452,0.9574
10,class_weighted,0.9814,nan,0.9671
10,class_weighted,0.9716,0.4450,0.9489
10,class_weighted,0.9853,nan,0.9739
15,class_weighted,0.9729,nan,0.9520
15,class_weighted,0.9856,nan,0.9745
10,class_weighted,0.9741,0.2621,0.9539
10,class_weighted,0.9871,nan,0.9770
10,class_weighted,0.9765,0.3457,0.9582
10,class_weighted,0.9739,nan,0.9535
10,class_weighted,0.9795,0.3382,0.9635
10,class_weighted,0.9779,0.3612,0.9602
10,class_weighted,0.9767,0.3036,0.9582
10,class_weighted,0.9824,0.3354,0.9689
10,class_weighted,0.9871,nan,0.9771
10,class_weighted,0.9794,nan,0.9632
15,class_weighted,0.9801,0.2643,0.9645
15,class_weighted,0.9735,0.3672,0.9522
15,class_weighted,0.9837,nan,0.9708
15,class_weighted,0.9808,0.1785,0.9659
15,class_weighted,0.9816,0.2720,0.9674
15,class_weighted,0.9801,nan,0.9646
15,class_weighted,0.9864,nan,0.9758
15,class_weighted,0.9819,nan,0.9675
20,class_weighted,0.9835,nan,0.9705
20,class_weighted,0.9819,0.3544,0.9679
15,class_weighted,0.9762,0.2566,0.9574
20,class_weighted,0.9794,0.3978,0.9630
20,class_weighted,0.9857,nan,0.9743
20,class_weighted,0.9859,nan,0.9752
15,class_weighted,0.9817,nan,0.9676
15,class_weighted,0.9777,0.3002,0.9605
20,class_weighted,0.9708,nan,0.9482
20,class_weighted,0.9812,nan,0.9662
15,class_weighted,0.9752,nan,0.9553
15,class_weighted,0.9812,0.3230,0.9667
15,class_weighted,0.9775,0.2945,0.9602
20,class_weighted,0.9764,0.3997,0.9578
15,class_weighted,0.9797,0.3276,0.9641
15,class_weighted,0.9840,0.2390,0.9713
20,class_weighted,0.9815,nan,0.9671
15,class_weighted,0.9762,0.4004,0.9575
20,class_weighted,0.9821,0.2221,0.9684
15,class_weighted,0.9810,nan,0.9660
20,class_weighted,0.9801,0.2394,0.9647
20,class_weighted,0.9740,nan,0.9535
20,class_weighted,0.9821,nan,0.9682
20,class_weighted,0.9808,0.2906,0.9661
20,class_weighted,0.9772,0.3283,0.9594
20,class_weighted,0.9796,0.3905,0.9634
20,class_weighted,0.9782,0.3094,0.9606
