Factor,Method,F1-Score,Correlation,Strength
1,standard,0.9696,0.1723,0.9457
1,standard,0.9644,0.2867,0.9364
1,standard,0.9630,0.2880,0.9342
1,standard,0.9683,0.1966,0.9434
1,standard,0.9631,0.3207,0.9339
1,standard,0.9718,0.1890,0.9499
1,standard,0.9664,0.2876,0.9408
1,standard,0.9659,0.2707,0.9391
1,standard,0.9723,0.1694,0.9510
1,standard,0.9713,0.1832,0.9492
1,standard,0.9665,0.2302,0.9409
1,standard,0.9706,0.2657,0.9477
1,standard,0.9696,0.2104,0.9463
1,standard,0.9607,nan,0.9306
2,standard,0.9804,0.2505,0.9649
2,standard,0.9756,nan,0.9565
2,standard,0.9706,0.2912,0.9477
1,standard,0.9620,0.2018,0.9326
2,standard,0.9791,nan,0.9627
1,standard,0.9725,nan,0.9513
1,standard,0.9654,0.2956,0.9388
2,standard,0.9658,0.3391,0.9400
2,standard,0.9727,0.2322,0.9524
2,standard,0.9809,0.3008,0.9661
2,standard,0.9745,0.2388,0.9548
1,standard,0.9683,0.2431,0.9438
2,standard,0.9724,0.3200,0.9508
2,standard,0.9777,0.2768,0.9600
1,standard,0.9596,0.3454,0.9293
1,standard,0.9691,0.1939,0.9451
2,standard,0.9754,nan,0.9563
2,standard,0.9774,nan,0.9600
2,standard,0.9732,nan,0.9523
2,standard,0.9738,nan,0.9536
2,standard,0.9809,nan,0.9658
2,standard,0.9680,0.3911,0.9424
2,standard,0.9721,0.3739,0.9494
2,standard,0.9768,nan,0.9588
2,standard,0.9723,nan,0.9510
2,standard,0.9772,0.2717,0.9594
3,standard,0.9731,0.2925,0.9523
3,standard,0.9872,nan,0.9774
3,standard,0.9750,nan,0.9556
3,standard,0.9799,nan,0.9644
3,standard,0.9835,nan,0.9705
3,standard,0.9784,0.3792,0.9611
3,standard,0.9837,nan,0.9713
3,standard,0.9821,nan,0.9682
3,standard,0.9774,0.3697,0.9594
3,standard,0.9763,nan,0.9582
3,standard,0.9784,0.2861,0.9614
3,standard,0.9790,nan,0.9627
4,standard,0.9776,nan,0.9598
4,standard,0.9798,nan,0.9635
3,standard,0.9831,nan,0.9700
3,standard,0.9754,0.2868,0.9560
4,standard,0.9789,nan,0.9629
4,standard,0.9837,nan,0.9711
4,standard,0.9881,nan,0.9789
3,standard,0.9734,0.2985,0.9529
4,standard,0.9795,nan,0.9636
4,standard,0.9780,0.3282,0.9609
3,standard,0.9710,0.3256,0.9486
4,standard,0.9827,nan,0.9691
4,standard,0.9814,0.3406,0.9668
4,standard,0.9738,0.2695,0.9538
4,standard,0.9827,nan,0.9691
4,standard,0.9779,0.2669,0.9608
4,standard,0.9823,0.3237,0.9683
4,standard,0.9839,nan,0.9712
4,standard,0.9649,0.4650,0.9367
3,standard,0.9826,nan,0.9691
4,standard,0.9800,nan,0.9641
3,standard,0.9825,nan,0.9688
3,standard,0.9800,0.2341,0.9645
3,standard,0.9699,0.3962,0.9462
5,standard,0.9823,0.3021,0.9685
5,standard,0.9856,nan,0.9747
5,standard,0.9802,nan,0.9651
5,standard,0.9773,0.2643,0.9594
4,standard,0.9724,0.3737,0.9506
5,standard,0.9635,0.4278,0.9355
5,standard,0.9787,nan,0.9622
5,standard,0.9806,nan,0.9653
4,standard,0.9739,0.3702,0.9532
5,standard,0.9825,0.1913,0.9693
4,standard,0.9747,nan,0.9544
5,standard,0.9789,0.2921,0.9621
4,standard,0.9715,nan,0.9490
5,standard,0.9700,0.4259,0.9478
5,standard,0.9851,nan,0.9735
5,standard,0.9809,nan,0.9660
5,standard,0.9835,0.1848,0.9707
5,standard,0.9784,nan,0.9612
5,standard,0.9740,0.3930,0.9536
5,standard,0.9706,0.3952,0.9479
5,standard,0.9772,nan,0.9591
5,standard,0.9685,0.4050,0.9438
10,standard,0.9763,0.3146,0.9577
10,standard,0.9796,nan,0.9640
10,standard,0.9746,0.4794,0.9546
10,standard,0.9692,0.4276,0.9450
10,standard,0.9772,nan,0.9596
5,standard,0.9781,0.3085,0.9609
10,standard,0.9898,nan,0.9819
10,standard,0.9827,nan,0.9694
5,standard,0.9767,nan,0.9586
10,standard,0.9754,nan,0.9562
10,standard,0.9827,nan,0.9692
10,standard,0.9771,0.3490,0.9589
10,standard,0.9762,0.4681,0.9573
10,standard,0.9870,nan,0.9769
10,standard,0.9836,0.3303,0.9710
10,standard,0.9740,0.3534,0.9542
10,standard,0.9839,nan,0.9714
10,standard,0.9780,0.3234,0.9609
10,standard,0.9742,0.3622,0.9542
10,standard,0.9772,nan,0.9595
