Factor,Method,F1-Score,Correlation,Strength
3,undersampling,0.9822,nan,0.9683
3,undersampling,0.9789,nan,0.9622
3,undersampling,0.9812,nan,0.9665
3,undersampling,0.9754,0.2587,0.9560
3,undersampling,0.9705,0.2281,0.9473
3,undersampling,0.9745,0.3041,0.9543
3,undersampling,0.9722,0.2424,0.9508
3,undersampling,0.9747,0.2624,0.9553
1,undersampling,0.9632,0.2741,0.9344
1,undersampling,0.9693,0.2243,0.9452
1,undersampling,0.9701,nan,0.9470
1,undersampling,0.9596,0.2664,0.9280
4,undersampling,0.9791,0.2415,0.9630
4,undersampling,0.9793,nan,0.9630
4,undersampling,0.9787,nan,0.9623
4,undersampling,0.9771,0.3447,0.9591
4,undersampling,0.9759,0.2580,0.9574
4,undersampling,0.9772,0.2493,0.9595
4,undersampling,0.9754,nan,0.9562
4,undersampling,0.9819,nan,0.9677
4,undersampling,0.9778,0.2862,0.9603
4,undersampling,0.9793,0.2708,0.9627
4,undersampling,0.9834,nan,0.9705
4,undersampling,0.9808,0.2947,0.9655
4,undersampling,0.9777,0.2538,0.9606
4,undersampling,0.9734,0.2828,0.9524
4,undersampling,0.9777,0.2535,0.9601
4,undersampling,0.9827,nan,0.9694
4,undersampling,0.9760,0.2978,0.9574
4,undersampling,0.9864,0.3370,0.9757
4,undersampling,0.9834,nan,0.9707
4,undersampling,0.9794,nan,0.9633
5,undersampling,0.9788,0.2597,0.9621
1,undersampling,0.9634,0.2460,0.9349
1,undersampling,0.9720,0.1495,0.9501
5,undersampling,0.9844,nan,0.9723
5,undersampling,0.9866,0.3853,0.9761
5,undersampling,0.9798,nan,0.9641
5,undersampling,0.9765,0.3444,0.9580
5,undersampling,0.9820,nan,0.9681
1,undersampling,0.9650,0.2134,0.9371
1,undersampling,0.9744,nan,0.9544
5,undersampling,0.9744,0.2816,0.9541
5,undersampling,0.9691,0.3835,0.9454
5,undersampling,0.9689,0.3498,0.9440
1,undersampling,0.9614,0.2249,0.9314
5,undersampling,0.9767,0.2878,0.9583
5,undersampling,0.9820,nan,0.9678
1,undersampling,0.9696,nan,0.9462
5,undersampling,0.9812,0.3379,0.9663
1,undersampling,0.9629,0.2834,0.9336
1,undersampling,0.9583,0.1977,0.9271
1,undersampling,0.9534,0.2691,0.9177
1,undersampling,0.9745,nan,0.9545
1,undersampling,0.9623,0.1734,0.9325
5,undersampling,0.9773,0.3333,0.9597
5,undersampling,0.9784,nan,0.9617
5,undersampling,0.9808,nan,0.9656
5,undersampling,0.9757,0.3754,0.9564
5,undersampling,0.9741,0.3463,0.9538
5,undersampling,0.9791,0.1954,0.9630
