Factor, Method, F-score, Precision, Recall
1,standard,0.9901,0.9901,0.9902
1,standard,0.9910,0.9887,0.9934
1,standard,0.9902,0.9871,0.9934
1,standard,0.9927,0.9903,0.9951
1,standard,0.9919,0.9888,0.9951
1,standard,0.9918,0.9902,0.9934
1,standard,0.9870,0.9824,0.9918
1,standard,0.9910,0.9886,0.9934
1,standard,0.9901,0.9887,0.9918
1,standard,0.9902,0.9887,0.9918
1,standard,0.9918,0.9902,0.9934
1,standard,0.9910,0.9886,0.9934
1,standard,0.9910,0.9870,0.9951
1,standard,0.9918,0.9870,0.9967
2,standard,0.9935,0.9903,0.9967
2,standard,0.9910,0.9870,0.9951
2,standard,0.9935,0.9903,0.9967
1,standard,0.9910,0.9872,0.9951
2,standard,0.9894,0.9871,0.9918
1,standard,0.9902,0.9887,0.9918
1,standard,0.9901,0.9903,0.9902
2,standard,0.9918,0.9886,0.9951
2,standard,0.9910,0.9903,0.9918
2,standard,0.9902,0.9870,0.9934
2,standard,0.9951,0.9903,1.0000
1,standard,0.9877,0.9853,0.9902
2,standard,0.9894,0.9887,0.9902
2,standard,0.9903,0.9826,0.9984
1,standard,0.9893,0.9901,0.9885
1,standard,0.9935,0.9902,0.9967
2,standard,0.9943,0.9888,1.0000
2,standard,0.9935,0.9902,0.9967
2,standard,0.9910,0.9887,0.9934
2,standard,0.9927,0.9886,0.9967
2,standard,0.9910,0.9871,0.9951
2,standard,0.9943,0.9920,0.9967
2,standard,0.9885,0.9872,0.9902
2,standard,0.9902,0.9902,0.9902
2,standard,0.9919,0.9872,0.9967
2,standard,0.9935,0.9887,0.9984
3,standard,0.9911,0.9872,0.9951
3,standard,0.9927,0.9903,0.9951
3,standard,0.9910,0.9886,0.9934
3,standard,0.9935,0.9886,0.9984
3,standard,0.9919,0.9888,0.9951
3,standard,0.9926,0.9903,0.9951
3,standard,0.9943,0.9903,0.9984
3,standard,0.9926,0.9902,0.9951
3,standard,0.9926,0.9919,0.9934
3,standard,0.9943,0.9903,0.9984
3,standard,0.9918,0.9902,0.9934
3,standard,0.9910,0.9887,0.9934
4,standard,0.9910,0.9887,0.9934
4,standard,0.9934,0.9919,0.9951
3,standard,0.9935,0.9902,0.9967
3,standard,0.9918,0.9887,0.9951
4,standard,0.9910,0.9903,0.9918
4,standard,0.9918,0.9902,0.9934
4,standard,0.9935,0.9920,0.9951
3,standard,0.9918,0.9902,0.9934
4,standard,0.9910,0.9871,0.9951
4,standard,0.9943,0.9919,0.9967
3,standard,0.9951,0.9919,0.9984
4,standard,0.9902,0.9902,0.9902
4,standard,0.9902,0.9870,0.9934
4,standard,0.9902,0.9871,0.9934
4,standard,0.9902,0.9887,0.9918
4,standard,0.9926,0.9919,0.9934
4,standard,0.9943,0.9903,0.9984
4,standard,0.9951,0.9919,0.9984
4,standard,0.9894,0.9886,0.9902
3,standard,0.9910,0.9886,0.9934
4,standard,0.9918,0.9886,0.9951
3,standard,0.9934,0.9919,0.9951
3,standard,0.9901,0.9901,0.9902
3,standard,0.9935,0.9888,0.9984
5,standard,0.9902,0.9871,0.9934
5,standard,0.9910,0.9903,0.9918
5,standard,0.9910,0.9902,0.9918
5,standard,0.9893,0.9885,0.9902
4,standard,0.9935,0.9903,0.9967
5,standard,0.9926,0.9918,0.9934
5,standard,0.9918,0.9918,0.9918
5,standard,0.9927,0.9887,0.9967
4,standard,0.9927,0.9887,0.9967
5,standard,0.9918,0.9918,0.9918
4,standard,0.9927,0.9871,0.9984
5,standard,0.9902,0.9871,0.9934
4,standard,0.9893,0.9885,0.9902
5,standard,0.9902,0.9887,0.9918
5,standard,0.9893,0.9885,0.9902
5,standard,0.9918,0.9903,0.9934
5,standard,0.9951,0.9935,0.9967
5,standard,0.9910,0.9887,0.9934
5,standard,0.9935,0.9903,0.9967
5,standard,0.9918,0.9903,0.9934
5,standard,0.9918,0.9903,0.9934
5,standard,0.9927,0.9903,0.9951
10,standard,0.9935,0.9902,0.9967
10,standard,0.9918,0.9902,0.9934
10,standard,0.9910,0.9886,0.9934
10,standard,0.9927,0.9887,0.9967
10,standard,0.9918,0.9902,0.9934
5,standard,0.9934,0.9919,0.9951
10,standard,0.9935,0.9903,0.9967
10,standard,0.9910,0.9870,0.9951
5,standard,0.9918,0.9919,0.9918
10,standard,0.9934,0.9918,0.9951
10,standard,0.9902,0.9902,0.9902
10,standard,0.9918,0.9887,0.9951
10,standard,0.9935,0.9903,0.9967
10,standard,0.9910,0.9888,0.9934
10,standard,0.9926,0.9902,0.9951
10,standard,0.9926,0.9919,0.9934
10,standard,0.9910,0.9887,0.9934
10,standard,0.9918,0.9902,0.9934
10,standard,0.9926,0.9903,0.9951
10,standard,0.9919,0.9888,0.9951
15,standard,0.9902,0.9886,0.9918
10,standard,0.9919,0.9888,0.9951
15,standard,0.9902,0.9870,0.9934
15,standard,0.9902,0.9902,0.9902
10,standard,0.9935,0.9887,0.9984
15,standard,0.9926,0.9902,0.9951
15,standard,0.9910,0.9886,0.9934
15,standard,0.9910,0.9886,0.9934
15,standard,0.9918,0.9886,0.9951
15,standard,0.9935,0.9903,0.9967
15,standard,0.9884,0.9934,0.9836
15,standard,0.9935,0.9903,0.9967
15,standard,0.9910,0.9919,0.9902
15,standard,0.9893,0.9885,0.9902
15,standard,0.9926,0.9903,0.9951
15,standard,0.9918,0.9886,0.9951
15,standard,0.9919,0.9889,0.9951
20,standard,0.9910,0.9887,0.9934
15,standard,0.9927,0.9871,0.9984
15,standard,0.9926,0.9918,0.9934
20,standard,0.9943,0.9919,0.9967
20,standard,0.9926,0.9902,0.9951
20,standard,0.9901,0.9903,0.9902
20,standard,0.9902,0.9886,0.9918
20,standard,0.9885,0.9886,0.9885
20,standard,0.9926,0.9920,0.9934
