Factor, Method, F-score, Precision, Recall
3,undersampling,0.9943,0.9903,0.9984
3,undersampling,0.9935,0.9918,0.9951
3,undersampling,0.9910,0.9886,0.9934
3,undersampling,0.9926,0.9903,0.9951
3,undersampling,0.9935,0.9887,0.9984
3,undersampling,0.9943,0.9903,0.9984
3,undersampling,0.9902,0.9872,0.9934
3,undersampling,0.9885,0.9870,0.9902
1,undersampling,0.9918,0.9871,0.9967
1,undersampling,0.9902,0.9870,0.9934
1,undersampling,0.9894,0.9870,0.9918
1,undersampling,0.9894,0.9870,0.9918
4,undersampling,0.9886,0.9855,0.9918
4,undersampling,0.9935,0.9903,0.9967
4,undersampling,0.9918,0.9903,0.9934
4,undersampling,0.9927,0.9887,0.9967
4,undersampling,0.9910,0.9855,0.9967
4,undersampling,0.9927,0.9887,0.9967
4,undersampling,0.9935,0.9887,0.9984
4,undersampling,0.9918,0.9918,0.9918
4,undersampling,0.9918,0.9886,0.9951
4,undersampling,0.9927,0.9886,0.9967
4,undersampling,0.9918,0.9902,0.9934
4,undersampling,0.9902,0.9886,0.9918
4,undersampling,0.9927,0.9887,0.9967
4,undersampling,0.9919,0.9871,0.9967
4,undersampling,0.9951,0.9919,0.9984
4,undersampling,0.9927,0.9888,0.9967
4,undersampling,0.9943,0.9903,0.9984
4,undersampling,0.9935,0.9919,0.9951
4,undersampling,0.9943,0.9903,0.9984
4,undersampling,0.9910,0.9886,0.9934
1,undersampling,0.9879,0.9841,0.9918
5,undersampling,0.9910,0.9902,0.9918
1,undersampling,0.9919,0.9870,0.9967
5,undersampling,0.9927,0.9888,0.9967
5,undersampling,0.9919,0.9873,0.9967
5,undersampling,0.9918,0.9902,0.9934
1,undersampling,0.9918,0.9886,0.9951
1,undersampling,0.9910,0.9871,0.9951
5,undersampling,0.9927,0.9872,0.9984
5,undersampling,0.9919,0.9855,0.9984
1,undersampling,0.9935,0.9887,0.9984
5,undersampling,0.9926,0.9903,0.9951
1,undersampling,0.9911,0.9872,0.9951
5,undersampling,0.9935,0.9902,0.9967
5,undersampling,0.9918,0.9886,0.9951
5,undersampling,0.9919,0.9873,0.9967
5,undersampling,0.9959,0.9919,1.0000
1,undersampling,0.9943,0.9919,0.9967
1,undersampling,0.9911,0.9840,0.9984
1,undersampling,0.9918,0.9870,0.9967
1,undersampling,0.9926,0.9902,0.9951
5,undersampling,0.9951,0.9919,0.9984
