Factor, Method, F-score, Precision, Recall
1,class_weighted,0.9721,0.9700,0.9749
1,class_weighted,0.9662,0.9693,0.9635
1,class_weighted,0.9664,0.9636,0.9691
1,class_weighted,0.9721,0.9696,0.9747
1,class_weighted,0.9663,0.9665,0.9663
1,class_weighted,0.9611,0.9538,0.9692
1,class_weighted,0.9695,0.9647,0.9748
1,class_weighted,0.9690,0.9690,0.9691
1,class_weighted,0.9706,0.9667,0.9747
1,class_weighted,0.9648,0.9692,0.9609
1,class_weighted,0.9636,0.9638,0.9636
1,class_weighted,0.9620,0.9667,0.9580
1,class_weighted,0.9664,0.9671,0.9664
1,class_weighted,0.9679,0.9641,0.9720
1,class_weighted,0.9651,0.9612,0.9691
1,class_weighted,0.9678,0.9666,0.9692
2,class_weighted,0.9722,0.9673,0.9776
2,class_weighted,0.9680,0.9671,0.9693
1,class_weighted,0.9614,0.9552,0.9693
1,class_weighted,0.9623,0.9618,0.9635
1,class_weighted,0.9650,0.9640,0.9663
1,class_weighted,0.9634,0.9637,0.9635
2,class_weighted,0.9679,0.9615,0.9748
2,class_weighted,0.9650,0.9641,0.9664
2,class_weighted,0.9692,0.9671,0.9720
3,class_weighted,0.9725,0.9629,0.9832
3,class_weighted,0.9650,0.9612,0.9691
3,class_weighted,0.9651,0.9647,0.9663
3,class_weighted,0.9736,0.9671,0.9804
3,class_weighted,0.9640,0.9565,0.9721
3,class_weighted,0.9710,0.9621,0.9805
3,class_weighted,0.9721,0.9699,0.9747
3,class_weighted,0.9705,0.9693,0.9719
2,class_weighted,0.9705,0.9697,0.9720
2,class_weighted,0.9723,0.9705,0.9748
2,class_weighted,0.9707,0.9726,0.9693
2,class_weighted,0.9750,0.9699,0.9804
2,class_weighted,0.9748,0.9698,0.9804
2,class_weighted,0.9663,0.9665,0.9664
2,class_weighted,0.9692,0.9699,0.9693
2,class_weighted,0.9708,0.9641,0.9776
2,class_weighted,0.9677,0.9664,0.9691
2,class_weighted,0.9692,0.9698,0.9691
4,class_weighted,0.9738,0.9652,0.9832
2,class_weighted,0.9678,0.9644,0.9719
2,class_weighted,0.9692,0.9666,0.9721
2,class_weighted,0.9751,0.9675,0.9833
2,class_weighted,0.9695,0.9646,0.9748
2,class_weighted,0.9637,0.9646,0.9637
4,class_weighted,0.9693,0.9614,0.9775
4,class_weighted,0.9654,0.9536,0.9777
3,class_weighted,0.9653,0.9619,0.9692
3,class_weighted,0.9709,0.9648,0.9775
3,class_weighted,0.9636,0.9586,0.9692
3,class_weighted,0.9749,0.9697,0.9804
3,class_weighted,0.9679,0.9615,0.9747
5,class_weighted,0.9762,0.9756,0.9776
5,class_weighted,0.9653,0.9590,0.9719
5,class_weighted,0.9665,0.9614,0.9719
5,class_weighted,0.9666,0.9591,0.9749
5,class_weighted,0.9697,0.9600,0.9804
5,class_weighted,0.9667,0.9624,0.9720
5,class_weighted,0.9750,0.9672,0.9831
5,class_weighted,0.9662,0.9666,0.9663
5,class_weighted,0.9696,0.9625,0.9776
3,class_weighted,0.9693,0.9645,0.9747
3,class_weighted,0.9697,0.9567,0.9833
3,class_weighted,0.9679,0.9618,0.9747
3,class_weighted,0.9693,0.9667,0.9720
3,class_weighted,0.9778,0.9758,0.9804
3,class_weighted,0.9708,0.9670,0.9748
4,class_weighted,0.9690,0.9699,0.9691
3,class_weighted,0.9691,0.9750,0.9635
4,class_weighted,0.9624,0.9589,0.9665
4,class_weighted,0.9725,0.9622,0.9832
4,class_weighted,0.9736,0.9701,0.9775
4,class_weighted,0.9720,0.9721,0.9719
4,class_weighted,0.9679,0.9641,0.9720
4,class_weighted,0.9723,0.9618,0.9832
5,class_weighted,0.9722,0.9645,0.9805
4,class_weighted,0.9707,0.9670,0.9748
4,class_weighted,0.9639,0.9559,0.9721
4,class_weighted,0.9720,0.9724,0.9720
4,class_weighted,0.9748,0.9721,0.9775
4,class_weighted,0.9625,0.9566,0.9692
4,class_weighted,0.9692,0.9700,0.9692
4,class_weighted,0.9721,0.9697,0.9748
4,class_weighted,0.9734,0.9722,0.9748
4,class_weighted,0.9695,0.9648,0.9748
4,class_weighted,0.9736,0.9647,0.9832
5,class_weighted,0.9666,0.9586,0.9750
5,class_weighted,0.9692,0.9669,0.9720
5,class_weighted,0.9669,0.9567,0.9775
10,class_weighted,0.9654,0.9658,0.9664
10,class_weighted,0.9681,0.9645,0.9720
10,class_weighted,0.9723,0.9646,0.9804
10,class_weighted,0.9636,0.9641,0.9636
5,class_weighted,0.9667,0.9619,0.9720
5,class_weighted,0.9722,0.9646,0.9803
5,class_weighted,0.9607,0.9584,0.9635
5,class_weighted,0.9682,0.9563,0.9804
5,class_weighted,0.9694,0.9618,0.9775
5,class_weighted,0.9721,0.9700,0.9748
5,class_weighted,0.9667,0.9587,0.9748
10,class_weighted,0.9739,0.9650,0.9833
10,class_weighted,0.9692,0.9642,0.9747
10,class_weighted,0.9707,0.9667,0.9748
10,class_weighted,0.9750,0.9698,0.9805
10,class_weighted,0.9681,0.9616,0.9748
10,class_weighted,0.9724,0.9679,0.9776
10,class_weighted,0.9662,0.9639,0.9691
10,class_weighted,0.9667,0.9593,0.9748
10,class_weighted,0.9723,0.9682,0.9776
10,class_weighted,0.9681,0.9623,0.9748
10,class_weighted,0.9792,0.9729,0.9860
