Factor,Method,F1-Score,Correlation,Strength
1,class_weighted,0.9315,0.2578,0.8273
1,class_weighted,0.9228,0.3368,0.8090
1,class_weighted,0.9378,0.2616,0.8450
1,class_weighted,0.9377,0.2422,0.8462
1,class_weighted,0.9258,0.3356,0.8149
1,class_weighted,0.9331,0.3066,0.8378
1,class_weighted,0.9395,0.2695,0.8506
1,class_weighted,0.9339,0.3014,0.8384
1,class_weighted,0.9537,0.1672,0.8838
1,class_weighted,0.9200,0.3046,0.8023
1,class_weighted,0.9484,0.3288,0.8704
1,class_weighted,0.9243,0.2643,0.8155
1,class_weighted,0.9502,0.3172,0.8736
1,class_weighted,0.9257,0.2748,0.8157
1,class_weighted,0.9411,0.3530,0.8524
1,class_weighted,0.9246,0.3702,0.8092
2,class_weighted,0.9254,0.3797,0.8148
2,class_weighted,0.9488,0.3433,0.8722
1,class_weighted,0.9358,0.4079,0.8386
1,class_weighted,0.9408,0.3176,0.8549
1,class_weighted,0.9349,0.3912,0.8398
1,class_weighted,0.9280,0.3547,0.8226
2,class_weighted,0.9550,0.2415,0.8848
2,class_weighted,0.9413,0.3458,0.8507
2,class_weighted,0.9346,0.3326,0.8393
3,class_weighted,0.9326,0.6097,0.8239
3,class_weighted,0.9418,0.2840,0.8550
3,class_weighted,0.9392,0.3531,0.8492
3,class_weighted,0.9375,0.3609,0.8412
3,class_weighted,0.9527,0.3066,0.8811
3,class_weighted,0.9361,0.3710,0.8395
3,class_weighted,0.9431,0.3311,0.8580
3,class_weighted,0.9264,0.3972,0.8155
2,class_weighted,0.9443,0.3666,0.8634
2,class_weighted,0.9347,0.4134,0.8328
2,class_weighted,0.9395,0.3309,0.8476
2,class_weighted,0.9383,0.3572,0.8480
2,class_weighted,0.9358,0.4085,0.8371
2,class_weighted,0.9350,0.3159,0.8371
2,class_weighted,0.9289,0.3102,0.8224
2,class_weighted,0.9428,0.2663,0.8601
2,class_weighted,0.9434,0.3702,0.8583
2,class_weighted,0.9219,0.3152,0.8100
4,class_weighted,0.9402,0.4260,0.8489
2,class_weighted,0.9447,0.5071,0.8575
2,class_weighted,0.9458,0.4768,0.8654
2,class_weighted,0.9414,0.4818,0.8484
2,class_weighted,0.9340,0.4691,0.8375
2,class_weighted,0.9493,0.2251,0.8742
4,class_weighted,0.9369,0.4016,0.8423
4,class_weighted,0.9347,0.3034,0.8377
3,class_weighted,0.9374,0.4104,0.8411
3,class_weighted,0.9297,0.3486,0.8267
3,class_weighted,0.9436,0.2680,0.8613
3,class_weighted,0.9531,0.4631,0.8814
3,class_weighted,0.9459,0.2994,0.8637
5,class_weighted,0.9393,0.3477,0.8499
5,class_weighted,0.9456,0.4537,0.8604
5,class_weighted,0.9407,0.3523,0.8503
5,class_weighted,0.9307,0.3475,0.8280
5,class_weighted,0.9507,0.2709,0.8809
5,class_weighted,0.9429,0.3433,0.8598
5,class_weighted,0.9494,0.3629,0.8717
5,class_weighted,0.9474,0.2771,0.8675
5,class_weighted,0.9373,0.4214,0.8404
3,class_weighted,0.9466,0.4441,0.8652
3,class_weighted,0.9384,0.2778,0.8440
3,class_weighted,0.9444,0.3430,0.8630
3,class_weighted,0.9464,0.2386,0.8682
3,class_weighted,0.9344,0.2920,0.8390
4,class_weighted,0.9467,0.3128,0.8628
3,class_weighted,0.9509,0.2500,0.8773
4,class_weighted,0.9472,0.4942,0.8678
3,class_weighted,0.9310,0.4727,0.8256
4,class_weighted,0.9421,0.2655,0.8571
4,class_weighted,0.9409,0.3701,0.8525
4,class_weighted,0.9364,0.3727,0.8385
4,class_weighted,0.9308,0.4078,0.8269
4,class_weighted,0.9408,0.3730,0.8527
5,class_weighted,0.9397,0.3541,0.8468
4,class_weighted,0.9410,0.3239,0.8547
4,class_weighted,0.9398,0.3498,0.8484
4,class_weighted,0.9454,0.3225,0.8618
4,class_weighted,0.9376,0.3321,0.8433
4,class_weighted,0.9370,0.3979,0.8385
4,class_weighted,0.9289,0.3723,0.8244
4,class_weighted,0.9245,0.4951,0.8083
4,class_weighted,0.9501,0.3208,0.8742
4,class_weighted,0.9380,0.3169,0.8444
4,class_weighted,0.9423,0.3560,0.8561
5,class_weighted,0.9490,0.2502,0.8735
5,class_weighted,0.9491,0.3885,0.8701
5,class_weighted,0.9288,0.3634,0.8214
10,class_weighted,0.9594,0.3934,0.8997
10,class_weighted,0.9662,0.2625,0.9158
10,class_weighted,0.9454,0.2908,0.8627
10,class_weighted,0.9447,0.3642,0.8597
5,class_weighted,0.9510,0.3049,0.8816
5,class_weighted,0.9504,0.3486,0.8755
5,class_weighted,0.9195,0.4371,0.8016
5,class_weighted,0.9351,0.2980,0.8354
5,class_weighted,0.9236,0.3364,0.8104
5,class_weighted,0.9243,0.4570,0.8087
5,class_weighted,0.9269,0.3712,0.8190
10,class_weighted,0.9385,0.3136,0.8496
10,class_weighted,0.9488,0.3941,0.8688
10,class_weighted,0.9428,0.3659,0.8558
10,class_weighted,0.9527,0.2863,0.8817
10,class_weighted,0.9501,0.3407,0.8751
10,class_weighted,0.9204,0.4199,0.8053
10,class_weighted,0.9347,0.2877,0.8412
10,class_weighted,0.9538,0.3806,0.8825
10,class_weighted,0.9308,0.3281,0.8244
10,class_weighted,0.9581,nan,0.8946
10,class_weighted,0.9326,0.3531,0.8269
10,class_weighted,0.9446,0.3944,0.8643
15,class_weighted,0.9520,0.3865,0.8785
15,class_weighted,0.9453,0.3461,0.8647
15,class_weighted,0.9468,0.2964,0.8667
15,class_weighted,0.9195,0.3480,0.7926
15,class_weighted,0.9433,0.3390,0.8594
10,class_weighted,0.9354,0.4087,0.8381
15,class_weighted,0.9515,0.3095,0.8779
15,class_weighted,0.9363,0.2831,0.8447
10,class_weighted,0.9275,0.4302,0.8200
10,class_weighted,0.9408,0.3087,0.8493
15,class_weighted,0.9480,0.3565,0.8679
15,class_weighted,0.9394,0.4116,0.8502
15,class_weighted,0.9418,0.4672,0.8527
10,class_weighted,0.9507,0.4076,0.8763
15,class_weighted,0.9421,0.2538,0.8588
20,class_weighted,0.9259,0.4587,0.8101
20,class_weighted,0.9472,0.2756,0.8706
20,class_weighted,0.9317,0.3224,0.8327
15,class_weighted,0.9394,0.3893,0.8484
20,class_weighted,0.9615,0.2389,0.9021
20,class_weighted,0.9408,0.3595,0.8535
