Factor,Method,F1-Score,Correlation,Strength
1,standard,0.9207,0.4707,0.7998
1,standard,0.9446,0.3827,0.8621
1,standard,0.9419,0.1910,0.8565
1,standard,0.9086,0.4164,0.7708
1,standard,0.9303,0.3380,0.8255
1,standard,0.9245,0.3299,0.8123
1,standard,0.9360,0.2974,0.8431
1,standard,0.9567,0.2106,0.8924
1,standard,0.9499,0.4829,0.8752
1,standard,0.9428,0.2434,0.8576
1,standard,0.9352,0.3774,0.8393
2,standard,0.9382,0.4319,0.8408
1,standard,0.9366,0.4242,0.8406
1,standard,0.9089,0.3336,0.7784
1,standard,0.9231,0.3580,0.8099
1,standard,0.9315,0.2627,0.8306
1,standard,0.9203,0.3737,0.8037
1,standard,0.9320,0.3183,0.8289
1,standard,0.9251,0.2107,0.8155
1,standard,0.9361,0.2396,0.8437
1,standard,0.9550,0.2216,0.8890
2,standard,0.9394,0.4070,0.8433
2,standard,0.9329,0.4960,0.8307
2,standard,0.9227,0.3933,0.8040
2,standard,0.9399,0.3110,0.8511
2,standard,0.9503,nan,0.8761
2,standard,0.9406,0.3402,0.8532
2,standard,0.9399,0.3107,0.8493
2,standard,0.9212,0.4578,0.8054
2,standard,0.9467,0.3623,0.8675
2,standard,0.9303,0.3490,0.8302
2,standard,0.9569,0.2843,0.8917
3,standard,0.9277,0.4179,0.8131
3,standard,0.9548,0.3435,0.8869
3,standard,0.9469,0.4434,0.8667
2,standard,0.9370,0.3509,0.8438
3,standard,0.9585,nan,0.8961
3,standard,0.9399,0.3220,0.8516
3,standard,0.9242,0.3808,0.8104
3,standard,0.9383,0.4521,0.8444
3,standard,0.9498,0.3365,0.8728
3,standard,0.9333,0.4571,0.8360
2,standard,0.9269,0.3323,0.8219
3,standard,0.9350,0.3332,0.8388
3,standard,0.9425,0.2583,0.8558
3,standard,0.9428,0.3006,0.8569
3,standard,0.9283,0.4114,0.8175
3,standard,0.9415,0.3423,0.8524
3,standard,0.9458,0.3142,0.8641
2,standard,0.9311,0.3171,0.8286
2,standard,0.9319,0.3817,0.8268
2,standard,0.9468,0.3322,0.8658
2,standard,0.9527,0.3090,0.8835
2,standard,0.9475,0.5129,0.8662
2,standard,0.9473,0.3691,0.8686
