Factor,Method,F1-Score,Correlation,Strength
1,undersampling,0.9358,0.3172,0.8419
1,undersampling,0.9214,0.2837,0.8104
1,undersampling,0.9297,0.3680,0.8276
1,undersampling,0.9227,0.3694,0.8074
1,undersampling,0.9338,0.2585,0.8373
1,undersampling,0.9360,0.3072,0.8440
1,undersampling,0.9087,0.3343,0.7840
1,undersampling,0.9103,0.3863,0.7795
1,undersampling,0.9277,0.2357,0.8250
1,undersampling,0.9154,0.3693,0.7996
1,undersampling,0.9030,0.2829,0.7664
1,undersampling,0.9197,0.4182,0.8087
1,undersampling,0.9223,0.2796,0.8097
1,undersampling,0.8919,0.5154,0.7387
4,undersampling,0.9347,0.3205,0.8341
4,undersampling,0.9380,0.3741,0.8442
4,undersampling,0.9312,0.4323,0.8277
4,undersampling,0.9393,0.2809,0.8485
1,undersampling,0.9159,0.3306,0.7970
1,undersampling,0.9364,0.2404,0.8432
2,undersampling,0.9374,0.4670,0.8434
2,undersampling,0.9459,0.2803,0.8635
2,undersampling,0.9366,0.2873,0.8434
2,undersampling,0.9420,0.2786,0.8580
2,undersampling,0.9292,0.3597,0.8294
2,undersampling,0.9423,0.2642,0.8587
5,undersampling,0.9349,0.4241,0.8352
5,undersampling,0.9505,0.3199,0.8754
5,undersampling,0.9339,0.4688,0.8370
5,undersampling,0.9585,nan,0.8971
5,undersampling,0.9306,0.3877,0.8304
5,undersampling,0.9339,0.2639,0.8381
5,undersampling,0.9371,0.4265,0.8416
5,undersampling,0.9468,0.4766,0.8645
5,undersampling,0.9421,0.3439,0.8524
5,undersampling,0.9447,0.3680,0.8604
5,undersampling,0.9461,0.3701,0.8627
5,undersampling,0.9414,0.4361,0.8484
5,undersampling,0.9403,0.3728,0.8479
5,undersampling,0.9334,0.4237,0.8315
5,undersampling,0.9345,0.3197,0.8362
5,undersampling,0.9331,0.4831,0.8362
5,undersampling,0.9405,0.4041,0.8509
5,undersampling,0.9454,0.2558,0.8671
5,undersampling,0.9432,0.2946,0.8579
5,undersampling,0.9298,0.3620,0.8237
2,undersampling,0.9383,0.2906,0.8489
2,undersampling,0.9227,0.4447,0.8093
1,undersampling,0.9020,0.4197,0.7595
