Factor, Method, F-score, Precision, Recall
1,standard,0.9668,0.9566,0.9776
1,standard,0.9664,0.9639,0.9692
1,standard,0.9665,0.9640,0.9692
1,standard,0.9638,0.9589,0.9692
1,standard,0.9650,0.9616,0.9692
1,standard,0.9640,0.9564,0.9720
1,standard,0.9626,0.9539,0.9721
1,standard,0.9668,0.9591,0.9748
1,standard,0.9681,0.9616,0.9748
1,standard,0.9736,0.9699,0.9776
1,standard,0.9695,0.9591,0.9804
2,standard,0.9677,0.9672,0.9692
1,standard,0.9695,0.9647,0.9748
1,standard,0.9678,0.9615,0.9747
1,standard,0.9667,0.9617,0.9720
1,standard,0.9695,0.9655,0.9747
1,standard,0.9592,0.9557,0.9635
1,standard,0.9651,0.9611,0.9693
1,standard,0.9680,0.9616,0.9748
1,standard,0.9666,0.9617,0.9720
1,standard,0.9653,0.9618,0.9693
2,standard,0.9679,0.9653,0.9719
2,standard,0.9710,0.9618,0.9804
2,standard,0.9722,0.9671,0.9775
2,standard,0.9680,0.9589,0.9775
2,standard,0.9723,0.9651,0.9803
2,standard,0.9623,0.9586,0.9665
2,standard,0.9707,0.9668,0.9748
2,standard,0.9706,0.9667,0.9747
2,standard,0.9680,0.9616,0.9748
2,standard,0.9707,0.9645,0.9775
2,standard,0.9722,0.9673,0.9775
3,standard,0.9640,0.9595,0.9692
3,standard,0.9627,0.9509,0.9748
3,standard,0.9652,0.9586,0.9720
2,standard,0.9722,0.9645,0.9804
3,standard,0.9677,0.9664,0.9691
3,standard,0.9665,0.9612,0.9719
3,standard,0.9638,0.9589,0.9692
3,standard,0.9640,0.9536,0.9748
3,standard,0.9696,0.9591,0.9804
3,standard,0.9748,0.9728,0.9775
2,standard,0.9680,0.9651,0.9719
3,standard,0.9680,0.9617,0.9748
3,standard,0.9707,0.9667,0.9749
3,standard,0.9695,0.9623,0.9777
3,standard,0.9696,0.9620,0.9777
3,standard,0.9656,0.9540,0.9777
3,standard,0.9651,0.9612,0.9691
2,standard,0.9735,0.9668,0.9804
2,standard,0.9734,0.9696,0.9775
2,standard,0.9763,0.9696,0.9831
2,standard,0.9736,0.9732,0.9748
2,standard,0.9747,0.9751,0.9749
2,standard,0.9617,0.9495,0.9749
4,standard,0.9681,0.9590,0.9775
4,standard,0.9681,0.9643,0.9721
4,standard,0.9667,0.9591,0.9749
4,standard,0.9707,0.9668,0.9749
4,standard,0.9721,0.9668,0.9775
4,standard,0.9649,0.9666,0.9637
4,standard,0.9708,0.9673,0.9748
4,standard,0.9682,0.9675,0.9692
3,standard,0.9694,0.9670,0.9720
3,standard,0.9722,0.9649,0.9804
4,standard,0.9696,0.9591,0.9804
4,standard,0.9695,0.9620,0.9776
