Factor, Method, F-score, Precision, Recall
1,undersampling,0.9674,0.9772,0.9581
1,undersampling,0.9645,0.9774,0.9523
1,undersampling,0.9646,0.9771,0.9524
1,undersampling,0.9646,0.9775,0.9525
1,undersampling,0.9631,0.9743,0.9525
1,undersampling,0.9592,0.9694,0.9496
1,undersampling,0.9645,0.9774,0.9524
1,undersampling,0.9673,0.9771,0.9580
1,undersampling,0.9690,0.9774,0.9609
1,undersampling,0.9632,0.9723,0.9551
1,undersampling,0.9675,0.9750,0.9607
1,undersampling,0.9646,0.9747,0.9552
1,undersampling,0.9644,0.9741,0.9550
1,undersampling,0.9629,0.9768,0.9496
4,undersampling,0.9654,0.9592,0.9720
4,undersampling,0.9690,0.9718,0.9664
4,undersampling,0.9693,0.9701,0.9692
4,undersampling,0.9678,0.9672,0.9691
1,undersampling,0.9675,0.9771,0.9580
1,undersampling,0.9632,0.9717,0.9552
2,undersampling,0.9659,0.9744,0.9580
2,undersampling,0.9702,0.9743,0.9664
2,undersampling,0.9691,0.9720,0.9665
2,undersampling,0.9625,0.9621,0.9636
2,undersampling,0.9690,0.9725,0.9662
2,undersampling,0.9716,0.9718,0.9719
5,undersampling,0.9667,0.9594,0.9748
5,undersampling,0.9747,0.9748,0.9748
5,undersampling,0.9623,0.9618,0.9637
5,undersampling,0.9665,0.9673,0.9664
5,undersampling,0.9705,0.9721,0.9691
5,undersampling,0.9680,0.9643,0.9720
5,undersampling,0.9680,0.9614,0.9748
5,undersampling,0.9719,0.9750,0.9692
5,undersampling,0.9721,0.9668,0.9776
5,undersampling,0.9696,0.9650,0.9748
5,undersampling,0.9617,0.9696,0.9552
5,undersampling,0.9704,0.9729,0.9692
5,undersampling,0.9793,0.9732,0.9860
5,undersampling,0.9764,0.9732,0.9804
5,undersampling,0.9719,0.9747,0.9692
5,undersampling,0.9677,0.9695,0.9664
5,undersampling,0.9666,0.9616,0.9721
5,undersampling,0.9692,0.9671,0.9719
5,undersampling,0.9736,0.9728,0.9748
5,undersampling,0.9708,0.9645,0.9776
2,undersampling,0.9718,0.9773,0.9664
2,undersampling,0.9674,0.9775,0.9580
1,undersampling,0.9659,0.9775,0.9550
1,undersampling,0.9672,0.9803,0.9551
1,undersampling,0.9617,0.9716,0.9523
1,undersampling,0.9689,0.9802,0.9581
3,undersampling,0.9676,0.9718,0.9637
3,undersampling,0.9646,0.9717,0.9580
3,undersampling,0.9718,0.9776,0.9665
3,undersampling,0.9664,0.9670,0.9663
3,undersampling,0.9707,0.9672,0.9748
3,undersampling,0.9690,0.9747,0.9637
3,undersampling,0.9676,0.9719,0.9637
3,undersampling,0.9677,0.9698,0.9663
3,undersampling,0.9619,0.9661,0.9581
3,undersampling,0.9689,0.9745,0.9635
3,undersampling,0.9635,0.9667,0.9607
3,undersampling,0.9619,0.9671,0.9579
3,undersampling,0.9692,0.9693,0.9692
10,undersampling,0.9723,0.9673,0.9777
3,undersampling,0.9694,0.9671,0.9720
10,undersampling,0.9719,0.9723,0.9721
10,undersampling,0.9763,0.9749,0.9777
10,undersampling,0.9762,0.9780,0.9749
10,undersampling,0.9736,0.9670,0.9804
10,undersampling,0.9723,0.9617,0.9832
10,undersampling,0.9709,0.9671,0.9748
10,undersampling,0.9722,0.9670,0.9776
10,undersampling,0.9765,0.9698,0.9833
10,undersampling,0.9666,0.9620,0.9719
10,undersampling,0.9736,0.9699,0.9776
10,undersampling,0.9721,0.9697,0.9747
10,undersampling,0.9662,0.9694,0.9635
10,undersampling,0.9722,0.9671,0.9776
10,undersampling,0.9708,0.9644,0.9775
2,undersampling,0.9676,0.9695,0.9665
10,undersampling,0.9668,0.9597,0.9748
10,undersampling,0.9735,0.9672,0.9803
2,undersampling,0.9638,0.9652,0.9635
2,undersampling,0.9679,0.9698,0.9664
10,undersampling,0.9734,0.9693,0.9775
2,undersampling,0.9661,0.9746,0.9580
2,undersampling,0.9688,0.9773,0.9607
2,undersampling,0.9706,0.9720,0.9693
2,undersampling,0.9672,0.9780,0.9579
2,undersampling,0.9675,0.9719,0.9635
2,undersampling,0.9677,0.9721,0.9635
2,undersampling,0.9719,0.9747,0.9692
10,undersampling,0.9652,0.9616,0.9693
2,undersampling,0.9663,0.9691,0.9635
10,undersampling,0.9694,0.9651,0.9749
4,undersampling,0.9693,0.9698,0.9692
4,undersampling,0.9720,0.9724,0.9720
4,undersampling,0.9706,0.9722,0.9692
4,undersampling,0.9648,0.9702,0.9608
4,undersampling,0.9777,0.9760,0.9803
4,undersampling,0.9692,0.9667,0.9720
4,undersampling,0.9706,0.9699,0.9720
4,undersampling,0.9749,0.9751,0.9749
4,undersampling,0.9694,0.9677,0.9719
4,undersampling,0.9650,0.9638,0.9664
4,undersampling,0.9691,0.9719,0.9665
4,undersampling,0.9718,0.9747,0.9692
4,undersampling,0.9680,0.9644,0.9719
4,undersampling,0.9736,0.9670,0.9804
4,undersampling,0.9665,0.9641,0.9692
2,undersampling,0.9609,0.9740,0.9495
4,undersampling,0.9705,0.9724,0.9692
3,undersampling,0.9718,0.9746,0.9694
3,undersampling,0.9632,0.9717,0.9551
3,undersampling,0.9662,0.9695,0.9637
3,undersampling,0.9720,0.9694,0.9748
3,undersampling,0.9690,0.9722,0.9664
3,undersampling,0.9690,0.9692,0.9692
15,undersampling,0.9635,0.9642,0.9637
15,undersampling,0.9695,0.9644,0.9748
15,undersampling,0.9659,0.9722,0.9606
15,undersampling,0.9721,0.9695,0.9748
15,undersampling,0.9709,0.9621,0.9804
15,undersampling,0.9707,0.9697,0.9720
15,undersampling,0.9733,0.9750,0.9721
15,undersampling,0.9666,0.9645,0.9691
15,undersampling,0.9694,0.9643,0.9749
15,undersampling,0.9665,0.9642,0.9691
15,undersampling,0.9777,0.9698,0.9860
15,undersampling,0.9710,0.9648,0.9776
15,undersampling,0.9623,0.9611,0.9636
15,undersampling,0.9679,0.9645,0.9720
15,undersampling,0.9666,0.9675,0.9664
15,undersampling,0.9696,0.9599,0.9804
20,undersampling,0.9709,0.9646,0.9776
20,undersampling,0.9708,0.9644,0.9775
20,undersampling,0.9764,0.9700,0.9832
20,undersampling,0.9706,0.9667,0.9749
20,undersampling,0.9720,0.9700,0.9747
20,undersampling,0.9723,0.9620,0.9832
20,undersampling,0.9708,0.9641,0.9776
15,undersampling,0.9735,0.9670,0.9804
15,undersampling,0.9749,0.9726,0.9776
15,undersampling,0.9680,0.9616,0.9748
15,undersampling,0.9707,0.9671,0.9747
20,undersampling,0.9736,0.9670,0.9805
20,undersampling,0.9762,0.9750,0.9776
20,undersampling,0.9640,0.9593,0.9692
20,undersampling,0.9738,0.9676,0.9804
20,undersampling,0.9724,0.9649,0.9804
20,undersampling,0.9680,0.9643,0.9720
20,undersampling,0.9735,0.9699,0.9775
20,undersampling,0.9675,0.9730,0.9637
20,undersampling,0.9721,0.9668,0.9775
20,undersampling,0.9679,0.9672,0.9691
20,undersampling,0.9706,0.9694,0.9721
20,undersampling,0.9735,0.9697,0.9776
20,undersampling,0.9724,0.9650,0.9804
