Factor, Method, F-score, Precision, Recall
1,class_weighted,0.6858,0.8091,0.5962
2,class_weighted,0.6876,0.7325,0.6500
1,class_weighted,0.6637,0.6525,0.6769
1,class_weighted,0.6636,0.6622,0.6692
1,class_weighted,0.6741,0.6753,0.6731
1,class_weighted,0.6597,0.7223,0.6231
1,class_weighted,0.6497,0.6741,0.6346
1,class_weighted,0.6675,0.8146,0.5731
1,class_weighted,0.6868,0.7935,0.6192
1,class_weighted,0.6695,0.7968,0.5808
3,class_weighted,0.6665,0.7563,0.5962
1,class_weighted,0.6762,0.6844,0.6692
1,class_weighted,0.6743,0.6757,0.6769
1,class_weighted,0.6677,0.6606,0.6769
1,class_weighted,0.6863,0.6891,0.6846
1,class_weighted,0.6661,0.6662,0.6692
1,class_weighted,0.6576,0.7277,0.6192
1,class_weighted,0.6559,0.7459,0.5962
1,class_weighted,0.6661,0.8099,0.5692
1,class_weighted,0.6645,0.8238,0.5654
4,class_weighted,0.6982,0.7530,0.6538
1,class_weighted,0.6723,0.7439,0.6231
1,class_weighted,0.6791,0.7525,0.6308
2,class_weighted,0.6659,0.7143,0.6269
2,class_weighted,0.6887,0.7166,0.6731
2,class_weighted,0.7029,0.7468,0.6654
2,class_weighted,0.6686,0.7511,0.6038
2,class_weighted,0.6851,0.7767,0.6192
2,class_weighted,0.6737,0.7150,0.6385
2,class_weighted,0.6820,0.7264,0.6462
2,class_weighted,0.6858,0.7344,0.6462
2,class_weighted,0.6832,0.7020,0.6846
2,class_weighted,0.6696,0.7407,0.6154
2,class_weighted,0.6723,0.7109,0.6423
2,class_weighted,0.6739,0.7125,0.6423
2,class_weighted,0.6755,0.7230,0.6385
2,class_weighted,0.6680,0.7086,0.6346
2,class_weighted,0.6664,0.7223,0.6192
2,class_weighted,0.6628,0.7323,0.6154
2,class_weighted,0.6788,0.7878,0.6038
2,class_weighted,0.6777,0.7204,0.6423
2,class_weighted,0.6468,0.7516,0.5769
3,class_weighted,0.6731,0.7534,0.6115
3,class_weighted,0.6832,0.7893,0.6231
3,class_weighted,0.6875,0.7426,0.6423
5,class_weighted,0.6898,0.6983,0.6846
3,class_weighted,0.6560,0.7323,0.6000
3,class_weighted,0.6760,0.7302,0.6308
3,class_weighted,0.6683,0.7358,0.6154
3,class_weighted,0.6481,0.6991,0.6077
3,class_weighted,0.6690,0.7204,0.6308
3,class_weighted,0.6719,0.7603,0.6038
3,class_weighted,0.6865,0.7445,0.6423
3,class_weighted,0.6863,0.7549,0.6346
3,class_weighted,0.6974,0.7931,0.6231
3,class_weighted,0.6806,0.7981,0.5962
3,class_weighted,0.6740,0.8410,0.5692
3,class_weighted,0.6798,0.8463,0.5692
3,class_weighted,0.6631,0.7057,0.6385
3,class_weighted,0.6633,0.7305,0.6115
3,class_weighted,0.6951,0.7785,0.6308
3,class_weighted,0.6531,0.6032,0.7154
4,class_weighted,0.6527,0.7067,0.6192
4,class_weighted,0.6783,0.7222,0.6538
4,class_weighted,0.6695,0.7418,0.6154
4,class_weighted,0.6604,0.6933,0.6500
4,class_weighted,0.6506,0.7431,0.5846
