Factor,Method,F1-Score,Correlation,Strength
1,class_weighted,0.4639,0.4462,0.9437
2,class_weighted,0.5270,0.3768,0.9460
1,class_weighted,0.4715,0.4075,0.9341
1,class_weighted,0.4980,0.3500,0.9318
1,class_weighted,0.4595,0.3750,0.9299
1,class_weighted,0.4616,0.3836,0.9341
1,class_weighted,0.4794,0.3672,0.9333
1,class_weighted,0.4909,0.4595,0.9507
1,class_weighted,0.5543,0.4226,0.9556
1,class_weighted,0.5139,0.4054,0.9484
3,class_weighted,0.5316,0.4091,0.9505
1,class_weighted,0.4653,0.3890,0.9329
1,class_weighted,0.4134,0.4186,0.9237
1,class_weighted,0.4738,0.3927,0.9353
1,class_weighted,0.4753,0.3676,0.9320
1,class_weighted,0.4794,0.3592,0.9305
1,class_weighted,0.5242,0.4118,0.9524
1,class_weighted,0.4727,0.3832,0.9282
1,class_weighted,0.5328,0.4232,0.9536
1,class_weighted,0.4653,0.4131,0.9473
4,class_weighted,0.5093,0.3375,0.9404
1,class_weighted,0.4658,0.3748,0.9325
1,class_weighted,0.4684,0.3536,0.9333
2,class_weighted,0.5019,0.4098,0.9413
2,class_weighted,0.4501,0.4726,0.9356
2,class_weighted,0.5063,0.4120,0.9458
2,class_weighted,0.4684,0.4241,0.9408
2,class_weighted,0.5393,0.4439,0.9563
2,class_weighted,0.5040,0.3591,0.9400
2,class_weighted,0.4802,0.4379,0.9449
2,class_weighted,0.4950,0.4586,0.9476
2,class_weighted,0.5288,0.3497,0.9466
2,class_weighted,0.5251,0.3755,0.9426
2,class_weighted,0.4628,0.4547,0.9415
2,class_weighted,0.4756,0.4232,0.9410
2,class_weighted,0.5030,0.4165,0.9418
2,class_weighted,0.5063,0.3687,0.9409
2,class_weighted,0.4983,0.4031,0.9419
2,class_weighted,0.5295,0.3824,0.9409
2,class_weighted,0.5399,0.4681,0.9548
2,class_weighted,0.5124,0.4000,0.9469
2,class_weighted,0.4888,0.4260,0.9393
3,class_weighted,0.4942,0.4914,0.9508
3,class_weighted,0.5424,0.3953,0.9511
3,class_weighted,0.4953,0.4776,0.9438
5,class_weighted,0.5403,0.3420,0.9450
3,class_weighted,0.5769,0.4303,0.9560
3,class_weighted,0.4828,0.4719,0.9458
3,class_weighted,0.5466,0.4261,0.9509
3,class_weighted,0.5241,0.4232,0.9500
3,class_weighted,0.5113,0.4589,0.9502
3,class_weighted,0.4278,0.5037,0.9385
3,class_weighted,0.5013,0.4674,0.9514
3,class_weighted,0.4455,0.4822,0.9469
3,class_weighted,0.4822,0.4495,0.9474
3,class_weighted,0.5001,0.4697,0.9484
3,class_weighted,0.5259,0.3815,0.9508
3,class_weighted,0.5319,0.4197,0.9520
3,class_weighted,0.5094,0.4255,0.9464
3,class_weighted,0.4942,0.4447,0.9474
3,class_weighted,0.5469,0.4247,0.9540
3,class_weighted,0.4450,0.3699,0.9237
4,class_weighted,0.4937,0.4752,0.9438
4,class_weighted,0.4573,0.4095,0.9341
4,class_weighted,0.4054,0.5365,0.9426
4,class_weighted,0.4686,0.3947,0.9339
4,class_weighted,0.5638,0.4663,0.9579
4,class_weighted,0.5062,0.3467,0.9358
4,class_weighted,0.5118,0.3612,0.9402
4,class_weighted,0.4977,0.3523,0.9381
4,class_weighted,0.4723,0.3864,0.9331
4,class_weighted,0.5234,0.4604,0.9530
4,class_weighted,0.4443,0.4170,0.9299
4,class_weighted,0.4785,0.3865,0.9302
4,class_weighted,0.4911,0.3796,0.9334
4,class_weighted,0.5599,0.4094,0.9542
4,class_weighted,0.5356,0.4737,0.9541
4,class_weighted,0.5142,0.3109,0.9358
4,class_weighted,0.5101,0.3386,0.9341
4,class_weighted,0.4967,0.4363,0.9434
4,class_weighted,0.4508,0.3840,0.9202
5,class_weighted,0.5130,0.3637,0.9384
5,class_weighted,0.4994,0.3773,0.9397
5,class_weighted,0.5147,0.3834,0.9454
5,class_weighted,0.4953,0.3355,0.9377
5,class_weighted,0.5095,0.4073,0.9393
5,class_weighted,0.5040,0.4190,0.9448
5,class_weighted,0.4765,0.4015,0.9403
5,class_weighted,0.5145,0.3785,0.9409
5,class_weighted,0.4845,0.4304,0.9405
5,class_weighted,0.4982,0.3667,0.9355
5,class_weighted,0.4857,0.3789,0.9381
5,class_weighted,0.5246,0.3753,0.9416
5,class_weighted,0.5181,0.3848,0.9385
5,class_weighted,0.5278,0.3827,0.9434
5,class_weighted,0.5891,0.4246,0.9575
5,class_weighted,0.5249,0.3541,0.9455
5,class_weighted,0.5515,0.3545,0.9456
10,class_weighted,0.4973,0.3863,0.9404
5,class_weighted,0.5073,0.3400,0.9390
5,class_weighted,0.5044,0.3756,0.9376
10,class_weighted,0.5551,0.4594,0.9520
10,class_weighted,0.5013,0.4890,0.9529
10,class_weighted,0.5223,0.4723,0.9529
10,class_weighted,0.4969,0.4232,0.9399
10,class_weighted,0.5834,0.3985,0.9569
10,class_weighted,0.5621,0.4234,0.9562
10,class_weighted,0.5217,0.4681,0.9513
10,class_weighted,0.5404,0.3595,0.9464
10,class_weighted,0.5887,0.3878,0.9582
10,class_weighted,0.5791,0.4144,0.9580
10,class_weighted,0.4907,0.4123,0.9420
10,class_weighted,0.4737,0.4589,0.9418
10,class_weighted,0.4902,0.4061,0.9413
10,class_weighted,0.5303,0.3847,0.9439
15,class_weighted,0.5406,0.4118,0.9533
10,class_weighted,0.5736,0.4269,0.9586
10,class_weighted,0.5078,0.3970,0.9412
10,class_weighted,0.4998,0.4162,0.9404
10,class_weighted,0.5211,0.4003,0.9449
20,class_weighted,0.5061,0.4712,0.9524
10,class_weighted,0.4899,0.4940,0.9519
15,class_weighted,0.5266,0.4722,0.9479
15,class_weighted,0.5408,0.4643,0.9521
15,class_weighted,0.5431,0.4340,0.9533
15,class_weighted,0.5382,0.4365,0.9538
15,class_weighted,0.4907,0.4668,0.9478
15,class_weighted,0.5643,0.4842,0.9581
15,class_weighted,0.5192,0.4276,0.9475
15,class_weighted,0.5056,0.4244,0.9492
15,class_weighted,0.5390,0.4582,0.9494
15,class_weighted,0.5499,0.4981,0.9568
20,class_weighted,0.5755,0.4150,0.9577
15,class_weighted,0.5726,0.3839,0.9542
20,class_weighted,0.5090,0.4426,0.9502
20,class_weighted,0.5435,0.4708,0.9550
15,class_weighted,0.5267,0.4429,0.9469
15,class_weighted,0.5022,0.4530,0.9480
