Factor,Method,F1-Score,Correlation,Strength
1,standard,0.4892,0.5734,0.9593
2,standard,0.5169,0.5202,0.9543
3,standard,0.5589,0.5039,0.9610
4,standard,0.5504,0.5130,0.9608
5,standard,0.5257,0.4959,0.9579
1,standard,0.5485,0.5014,0.9591
1,standard,0.5828,0.4633,0.9629
1,standard,0.5820,0.4808,0.9618
1,standard,0.5477,0.5581,0.9627
1,standard,0.5049,0.5564,0.9596
1,standard,0.5450,0.4897,0.9592
1,standard,0.5385,0.5074,0.9604
1,standard,0.4993,0.5488,0.9578
1,standard,0.4955,0.5389,0.9599
1,standard,0.5687,0.5184,0.9637
1,standard,0.5056,0.5353,0.9587
1,standard,0.5291,0.5090,0.9609
1,standard,0.5913,0.4957,0.9654
1,standard,0.5523,0.5207,0.9618
1,standard,0.5079,0.5672,0.9593
1,standard,0.5658,0.4943,0.9621
1,standard,0.5197,0.5027,0.9593
1,standard,0.5466,0.5088,0.9610
1,standard,0.5271,0.4961,0.9570
2,standard,0.5204,0.5233,0.9597
2,standard,0.6131,0.5055,0.9660
2,standard,0.5428,0.5135,0.9598
2,standard,0.5457,0.5025,0.9598
2,standard,0.5450,0.5187,0.9605
2,standard,0.5458,0.5123,0.9597
2,standard,0.5317,0.5193,0.9596
2,standard,0.5901,0.4520,0.9608
2,standard,0.5053,0.5555,0.9605
2,standard,0.6145,0.4430,0.9654
10,standard,0.5268,0.5068,0.9566
2,standard,0.5282,0.5995,0.9616
2,standard,0.5946,0.4691,0.9634
2,standard,0.5762,0.4905,0.9622
2,standard,0.5711,0.4900,0.9614
2,standard,0.6145,0.4888,0.9652
2,standard,0.5003,0.5807,0.9590
2,standard,0.5383,0.5295,0.9593
2,standard,0.5920,0.4796,0.9617
2,standard,0.5381,0.5215,0.9589
3,standard,0.5815,0.4563,0.9619
3,standard,0.6089,0.4473,0.9649
3,standard,0.5123,0.5166,0.9548
3,standard,0.5928,0.4626,0.9636
3,standard,0.5893,0.4848,0.9627
3,standard,0.5061,0.5439,0.9592
3,standard,0.5597,0.5362,0.9628
3,standard,0.5832,0.4719,0.9634
3,standard,0.5787,0.4641,0.9636
3,standard,0.5545,0.5060,0.9613
3,standard,0.5464,0.5025,0.9598
3,standard,0.4730,0.5741,0.9579
3,standard,0.5752,0.5194,0.9633
3,standard,0.5722,0.4581,0.9631
4,standard,0.5761,0.4814,0.9627
4,standard,0.5557,0.5222,0.9602
4,standard,0.5344,0.5216,0.9598
4,standard,0.6081,0.4382,0.9634
3,standard,0.6023,0.4825,0.9641
4,standard,0.6111,0.4485,0.9636
3,standard,0.5006,0.5227,0.9573
3,standard,0.5252,0.5512,0.9589
3,standard,0.5506,0.4847,0.9611
3,standard,0.5517,0.4789,0.9599
4,standard,0.5659,0.4464,0.9599
4,standard,0.6062,0.4413,0.9631
4,standard,0.5916,0.4402,0.9627
4,standard,0.5380,0.4951,0.9562
4,standard,0.5582,0.4918,0.9602
4,standard,0.6148,0.4463,0.9639
4,standard,0.5490,0.5417,0.9611
4,standard,0.4895,0.5675,0.9574
4,standard,0.5340,0.5034,0.9598
4,standard,0.5314,0.5615,0.9594
4,standard,0.5714,0.4436,0.9585
4,standard,0.5839,0.4645,0.9620
4,standard,0.4976,0.5452,0.9557
4,standard,0.5528,0.5105,0.9613
5,standard,0.6097,0.4585,0.9649
5,standard,0.5404,0.5142,0.9571
15,standard,0.5870,0.4929,0.9627
5,standard,0.5626,0.4816,0.9607
5,standard,0.5778,0.5041,0.9616
5,standard,0.6017,0.4655,0.9618
5,standard,0.5514,0.4817,0.9595
5,standard,0.4838,0.5614,0.9547
5,standard,0.5590,0.5186,0.9621
5,standard,0.4992,0.5288,0.9555
5,standard,0.6429,0.3992,0.9650
5,standard,0.6258,0.4623,0.9636
5,standard,0.5302,0.5231,0.9595
5,standard,0.5616,0.4614,0.9587
5,standard,0.5886,0.4721,0.9608
5,standard,0.5772,0.5215,0.9631
5,standard,0.5532,0.5156,0.9616
5,standard,0.5938,0.4665,0.9632
5,standard,0.6166,0.4594,0.9652
5,standard,0.5228,0.5335,0.9597
20,standard,0.5213,0.5396,0.9574
10,standard,0.5565,0.4977,0.9606
10,standard,0.5744,0.4815,0.9610
10,standard,0.5272,0.5277,0.9571
10,standard,0.5590,0.5078,0.9600
10,standard,0.5661,0.5134,0.9594
