Factor,Method,F1-Score,Correlation,Strength
1,undersampling,0.2212,0.3137,0.7295
1,undersampling,0.2361,0.2880,0.7226
1,undersampling,0.2267,0.2958,0.7297
1,undersampling,0.2292,0.3081,0.7364
1,undersampling,0.2299,0.2931,0.7285
2,undersampling,0.2631,0.3022,0.7721
3,undersampling,0.3162,0.3154,0.8209
3,undersampling,0.2784,0.3181,0.8072
3,undersampling,0.2950,0.3089,0.8129
3,undersampling,0.2811,0.2974,0.8007
3,undersampling,0.2884,0.3177,0.8169
1,undersampling,0.2241,0.3218,0.7300
1,undersampling,0.2192,0.3223,0.7443
1,undersampling,0.2345,0.3024,0.7412
1,undersampling,0.2362,0.2724,0.7362
1,undersampling,0.2224,0.2963,0.7297
1,undersampling,0.2504,0.2804,0.7529
1,undersampling,0.2267,0.3024,0.7454
1,undersampling,0.2290,0.2970,0.7396
1,undersampling,0.2199,0.3104,0.7457
1,undersampling,0.2304,0.3235,0.7377
1,undersampling,0.2310,0.3353,0.7494
1,undersampling,0.2393,0.2823,0.7558
1,undersampling,0.2261,0.3298,0.7438
1,undersampling,0.2174,0.3016,0.7540
1,undersampling,0.2266,0.3125,0.7349
2,undersampling,0.2650,0.3093,0.7814
2,undersampling,0.2522,0.3137,0.7867
2,undersampling,0.2624,0.3257,0.7817
2,undersampling,0.2544,0.3318,0.7798
2,undersampling,0.2640,0.3199,0.7739
2,undersampling,0.2669,0.3204,0.7890
2,undersampling,0.2747,0.3098,0.7852
2,undersampling,0.2508,0.3226,0.7918
2,undersampling,0.2609,0.3232,0.7885
2,undersampling,0.2640,0.3130,0.7805
2,undersampling,0.2542,0.2955,0.7857
2,undersampling,0.2635,0.2990,0.7795
2,undersampling,0.2530,0.3304,0.7809
2,undersampling,0.2435,0.3387,0.7780
2,undersampling,0.2607,0.2828,0.7855
5,undersampling,0.3286,0.3631,0.8510
4,undersampling,0.2901,0.3332,0.8138
4,undersampling,0.3022,0.3363,0.8200
4,undersampling,0.3140,0.3353,0.8324
4,undersampling,0.2946,0.3792,0.8287
4,undersampling,0.3365,0.3140,0.8455
4,undersampling,0.2969,0.3484,0.8279
4,undersampling,0.2875,0.3359,0.8361
4,undersampling,0.2938,0.3274,0.8121
4,undersampling,0.3043,0.2962,0.8256
4,undersampling,0.2987,0.3316,0.8169
4,undersampling,0.3094,0.3565,0.8361
4,undersampling,0.2885,0.3372,0.8105
4,undersampling,0.2938,0.3661,0.8333
4,undersampling,0.2934,0.3622,0.8182
4,undersampling,0.3123,0.3132,0.8246
4,undersampling,0.2948,0.3553,0.8333
4,undersampling,0.2998,0.3614,0.8201
4,undersampling,0.3015,0.3281,0.8243
4,undersampling,0.2981,0.3435,0.8184
2,undersampling,0.2580,0.3090,0.7639
3,undersampling,0.2792,0.3399,0.8166
2,undersampling,0.2683,0.3347,0.7941
2,undersampling,0.2740,0.3252,0.7986
2,undersampling,0.2677,0.2960,0.7791
5,undersampling,0.3026,0.3516,0.8366
5,undersampling,0.3266,0.3480,0.8400
5,undersampling,0.3131,0.3429,0.8385
5,undersampling,0.3264,0.3244,0.8442
5,undersampling,0.3120,0.3496,0.8465
5,undersampling,0.3237,0.3587,0.8452
5,undersampling,0.3308,0.3393,0.8459
5,undersampling,0.3147,0.3434,0.8299
5,undersampling,0.3242,0.3418,0.8418
5,undersampling,0.3310,0.3144,0.8393
5,undersampling,0.3165,0.3423,0.8380
5,undersampling,0.3153,0.3425,0.8498
5,undersampling,0.3237,0.3530,0.8393
5,undersampling,0.3185,0.3531,0.8432
5,undersampling,0.3251,0.3085,0.8346
5,undersampling,0.3355,0.3249,0.8542
3,undersampling,0.2915,0.2830,0.8109
5,undersampling,0.3348,0.3312,0.8414
3,undersampling,0.2894,0.3538,0.8166
3,undersampling,0.2774,0.3452,0.8018
3,undersampling,0.2764,0.3234,0.7975
3,undersampling,0.2779,0.2910,0.7990
3,undersampling,0.2662,0.3426,0.7939
3,undersampling,0.2803,0.3108,0.8102
3,undersampling,0.2842,0.3004,0.8046
3,undersampling,0.2823,0.3319,0.8120
3,undersampling,0.3028,0.3101,0.8205
3,undersampling,0.2704,0.3147,0.8023
3,undersampling,0.2749,0.3267,0.8038
3,undersampling,0.2661,0.3454,0.7972
3,undersampling,0.2774,0.3171,0.8005
4,undersampling,0.2950,0.3335,0.8118
5,undersampling,0.3372,0.3191,0.8508
5,undersampling,0.3083,0.3571,0.8482
10,undersampling,0.3786,0.3463,0.8920
10,undersampling,0.3901,0.3887,0.8982
10,undersampling,0.3859,0.3613,0.8885
10,undersampling,0.3671,0.3820,0.8825
10,undersampling,0.4087,0.3137,0.8926
10,undersampling,0.3947,0.3644,0.8884
10,undersampling,0.4133,0.3248,0.8984
10,undersampling,0.4105,0.3166,0.8892
10,undersampling,0.3962,0.3753,0.8993
10,undersampling,0.3961,0.3308,0.8913
10,undersampling,0.3617,0.4063,0.8911
15,undersampling,0.4165,0.3813,0.9051
10,undersampling,0.3891,0.3606,0.8814
10,undersampling,0.3867,0.3453,0.8949
10,undersampling,0.4235,0.3519,0.9045
10,undersampling,0.3853,0.3462,0.8872
10,undersampling,0.3933,0.3009,0.8954
10,undersampling,0.3913,0.3624,0.8979
10,undersampling,0.3895,0.3452,0.8965
20,undersampling,0.4257,0.4122,0.9189
10,undersampling,0.4096,0.3385,0.8983
10,undersampling,0.3702,0.3698,0.8891
15,undersampling,0.4216,0.3688,0.9207
15,undersampling,0.4322,0.3662,0.9099
20,undersampling,0.4624,0.3791,0.9259
20,undersampling,0.4448,0.3951,0.9215
20,undersampling,0.4705,0.3814,0.9316
20,undersampling,0.4621,0.3389,0.9240
20,undersampling,0.4720,0.3425,0.9243
20,undersampling,0.4750,0.3497,0.9295
15,undersampling,0.4221,0.3776,0.9090
15,undersampling,0.4303,0.3816,0.9101
20,undersampling,0.4370,0.4218,0.9212
20,undersampling,0.4618,0.3829,0.9227
20,undersampling,0.4827,0.3803,0.9317
20,undersampling,0.4822,0.3948,0.9272
20,undersampling,0.4746,0.3458,0.9243
20,undersampling,0.4950,0.3717,0.9305
15,undersampling,0.4562,0.3278,0.9145
15,undersampling,0.4584,0.3718,0.9207
15,undersampling,0.4220,0.3813,0.9163
15,undersampling,0.4536,0.3201,0.9180
15,undersampling,0.4152,0.3947,0.9127
15,undersampling,0.4275,0.3409,0.9129
15,undersampling,0.4273,0.3797,0.9152
15,undersampling,0.4138,0.3684,0.9051
15,undersampling,0.4390,0.3303,0.9075
15,undersampling,0.4280,0.4090,0.9094
15,undersampling,0.4433,0.3759,0.9154
15,undersampling,0.4651,0.3685,0.9158
15,undersampling,0.4284,0.3690,0.9193
15,undersampling,0.4041,0.3765,0.9073
15,undersampling,0.4677,0.3640,0.9203
