Factor, Method, F-score, Precision, Recall
1,standard,0.6453,0.8924,0.5154
2,standard,0.6688,0.8619,0.5538
3,standard,0.6648,0.8775,0.5385
4,standard,0.6772,0.8875,0.5538
5,standard,0.6816,0.8553,0.5731
1,standard,0.6510,0.8586,0.5269
1,standard,0.6537,0.8900,0.5231
1,standard,0.6722,0.8657,0.5538
1,standard,0.6617,0.8714,0.5346
1,standard,0.6590,0.8620,0.5385
1,standard,0.6713,0.8896,0.5423
1,standard,0.6655,0.8734,0.5385
1,standard,0.6612,0.8773,0.5308
1,standard,0.6753,0.8840,0.5500
1,standard,0.6817,0.8889,0.5538
1,standard,0.6586,0.8713,0.5308
1,standard,0.6583,0.8802,0.5308
1,standard,0.6657,0.8770,0.5423
1,standard,0.6749,0.8986,0.5423
1,standard,0.6380,0.8768,0.5038
1,standard,0.6427,0.8611,0.5154
1,standard,0.6750,0.8942,0.5462
1,standard,0.6528,0.8610,0.5269
1,standard,0.6738,0.8868,0.5462
2,standard,0.6728,0.8788,0.5462
2,standard,0.6673,0.8847,0.5462
2,standard,0.6700,0.8495,0.5538
2,standard,0.6861,0.9089,0.5538
2,standard,0.6747,0.8747,0.5500
2,standard,0.7001,0.8912,0.5846
2,standard,0.6663,0.8688,0.5423
2,standard,0.6765,0.8929,0.5500
2,standard,0.6740,0.8633,0.5615
2,standard,0.6763,0.8844,0.5500
10,standard,0.6815,0.8610,0.5654
2,standard,0.6684,0.8650,0.5462
2,standard,0.6484,0.8530,0.5269
2,standard,0.6714,0.8988,0.5385
2,standard,0.6570,0.8597,0.5385
2,standard,0.6748,0.8763,0.5577
2,standard,0.6628,0.8664,0.5423
2,standard,0.6896,0.8696,0.5731
2,standard,0.6717,0.8850,0.5462
2,standard,0.6612,0.8609,0.5385
3,standard,0.6700,0.8704,0.5538
3,standard,0.6924,0.8756,0.5731
3,standard,0.7065,0.8642,0.6000
3,standard,0.6740,0.8822,0.5462
3,standard,0.6738,0.8544,0.5615
3,standard,0.6795,0.8748,0.5577
3,standard,0.6928,0.8944,0.5692
3,standard,0.6689,0.8840,0.5462
3,standard,0.6838,0.8656,0.5654
3,standard,0.6671,0.8548,0.5500
3,standard,0.6609,0.8312,0.5500
3,standard,0.6643,0.8745,0.5462
3,standard,0.6834,0.8759,0.5615
3,standard,0.7008,0.9008,0.5769
4,standard,0.6962,0.8926,0.5731
4,standard,0.6878,0.8807,0.5654
4,standard,0.6775,0.8596,0.5615
4,standard,0.6773,0.8823,0.5538
3,standard,0.6704,0.8706,0.5462
4,standard,0.6908,0.8700,0.5769
3,standard,0.6563,0.8532,0.5385
3,standard,0.6923,0.8964,0.5692
3,standard,0.6654,0.8726,0.5423
3,standard,0.6782,0.8533,0.5654
4,standard,0.6863,0.8744,0.5654
4,standard,0.6938,0.8776,0.5846
4,standard,0.6853,0.8805,0.5615
4,standard,0.6848,0.8819,0.5615
4,standard,0.6830,0.8779,0.5615
4,standard,0.6710,0.8614,0.5538
4,standard,0.6917,0.8536,0.5885
4,standard,0.6757,0.8368,0.5692
4,standard,0.6663,0.8712,0.5462
4,standard,0.6775,0.8655,0.5577
4,standard,0.6608,0.8715,0.5346
4,standard,0.6698,0.8427,0.5577
4,standard,0.6727,0.8508,0.5577
4,standard,0.6924,0.8753,0.5769
5,standard,0.6773,0.8742,0.5538
5,standard,0.6826,0.8589,0.5692
15,standard,0.6534,0.8284,0.5423
5,standard,0.6781,0.8730,0.5577
5,standard,0.6773,0.8454,0.5654
5,standard,0.6727,0.8606,0.5577
5,standard,0.6938,0.8814,0.5731
5,standard,0.6852,0.8827,0.5692
5,standard,0.6840,0.8559,0.5731
5,standard,0.6783,0.8497,0.5654
5,standard,0.7008,0.8927,0.5808
5,standard,0.6759,0.8379,0.5692
5,standard,0.6768,0.8544,0.5654
