Factor, Method, F-score, Precision, Recall
1,class_weighted,0.4385,0.516,0.4417
1,class_weighted,0.4628,0.5057,0.5167
1,class_weighted,0.4385,0.4755,0.4583
1,class_weighted,0.4255,0.4064,0.4611
1,class_weighted,0.4887,0.5416,0.4806
1,class_weighted,0.4476,0.4814,0.4639
1,class_weighted,0.5508,0.5643,0.5611
1,class_weighted,0.4775,0.5057,0.4611
1,class_weighted,0.5132,0.58,0.4889
1,class_weighted,0.4879,0.5054,0.4861
1,class_weighted,0.5197,0.5826,0.4917
1,class_weighted,0.4514,0.51,0.4111
1,class_weighted,0.4283,0.4571,0.4583
1,class_weighted,0.4368,0.4724,0.4194
1,class_weighted,0.4356,0.6345,0.3972
1,class_weighted,0.5023,0.62,0.4361
1,class_weighted,0.4282,0.5039,0.3861
1,class_weighted,0.4945,0.5943,0.4389
1,class_weighted,0.4941,0.4574,0.5583
1,class_weighted,0.5436,0.6445,0.5167
2,class_weighted,0.4649,0.5047,0.4611
2,class_weighted,0.5944,0.5924,0.6083
2,class_weighted,0.4941,0.62,0.4639
2,class_weighted,0.5004,0.5284,0.5111
2,class_weighted,0.5288,0.5561,0.5417
2,class_weighted,0.5076,0.5306,0.5111
2,class_weighted,0.562,0.6056,0.5361
2,class_weighted,0.5121,0.5389,0.5417
2,class_weighted,0.5401,0.5933,0.5111
2,class_weighted,0.4731,0.6532,0.4167
2,class_weighted,0.5239,0.6587,0.4861
2,class_weighted,0.4414,0.4386,0.4583
2,class_weighted,0.5048,0.5167,0.5111
2,class_weighted,0.5163,0.5029,0.5389
2,class_weighted,0.5957,0.6357,0.5833
2,class_weighted,0.5234,0.6286,0.5361
2,class_weighted,0.4489,0.4956,0.4389
2,class_weighted,0.5416,0.5477,0.5639
2,class_weighted,0.4843,0.5184,0.4667
2,class_weighted,0.4881,0.6167,0.4361
3,class_weighted,0.5903,0.6378,0.5639
3,class_weighted,0.5097,0.5389,0.4889
3,class_weighted,0.5067,0.5643,0.4806
3,class_weighted,0.4282,0.5825,0.4167
3,class_weighted,0.5289,0.5667,0.5139
3,class_weighted,0.5614,0.6361,0.5111
3,class_weighted,0.4855,0.5228,0.4667
3,class_weighted,0.533,0.6311,0.4889
3,class_weighted,0.5236,0.5709,0.5083
3,class_weighted,0.5236,0.6198,0.4861
3,class_weighted,0.5303,0.5587,0.5139
3,class_weighted,0.5109,0.6273,0.4917
3,class_weighted,0.5195,0.4907,0.5583
3,class_weighted,0.5703,0.6364,0.5333
4,class_weighted,0.5556,0.6621,0.5111
4,class_weighted,0.4672,0.5004,0.45
4,class_weighted,0.5071,0.5509,0.4861
4,class_weighted,0.5497,0.6148,0.5111
4,class_weighted,0.5114,0.6262,0.4417
4,class_weighted,0.4784,0.5397,0.4417
4,class_weighted,0.5451,0.6686,0.4639
3,class_weighted,0.5541,0.5886,0.5333
3,class_weighted,0.5764,0.6209,0.5611
4,class_weighted,0.4893,0.5581,0.4389
4,class_weighted,0.5271,0.5738,0.4917
3,class_weighted,0.4853,0.4993,0.4861
3,class_weighted,0.5358,0.6285,0.5111
3,class_weighted,0.463,0.515,0.4667
3,class_weighted,0.4967,0.5641,0.4667
5,class_weighted,0.5419,0.6234,0.5139
5,class_weighted,0.456,0.5667,0.3889
5,class_weighted,0.51,0.5493,0.4861
5,class_weighted,0.5585,0.6083,0.5417
5,class_weighted,0.5791,0.6004,0.5639
5,class_weighted,0.5615,0.6776,0.4917
5,class_weighted,0.4233,0.4555,0.4056
4,class_weighted,0.4976,0.576,0.4472
4,class_weighted,0.4418,0.4567,0.4639
4,class_weighted,0.4196,0.5,0.3667
4,class_weighted,0.4863,0.5635,0.4361
4,class_weighted,0.5659,0.64,0.5194
4,class_weighted,0.4467,0.5119,0.4083
4,class_weighted,0.5869,0.6577,0.6111
4,class_weighted,0.5929,0.6509,0.5639
4,class_weighted,0.4385,0.5333,0.4194
4,class_weighted,0.5852,0.6633,0.5361
4,class_weighted,0.5198,0.6311,0.4639
5,class_weighted,0.5374,0.7184,0.4639
5,class_weighted,0.4798,0.6168,0.4167
5,class_weighted,0.4643,0.6254,0.4139
5,class_weighted,0.4674,0.5038,0.4694
5,class_weighted,0.4843,0.5865,0.4667
5,class_weighted,0.4614,0.5548,0.4333
5,class_weighted,0.484,0.5783,0.4444
5,class_weighted,0.5223,0.6266,0.4917
5,class_weighted,0.4705,0.5571,0.4139
5,class_weighted,0.4881,0.5921,0.4389
5,class_weighted,0.5261,0.5571,0.5056
5,class_weighted,0.5112,0.5806,0.4944
5,class_weighted,0.5552,0.5954,0.5333
10,class_weighted,0.4307,0.4848,0.4111
10,class_weighted,0.5521,0.6008,0.5306
10,class_weighted,0.5903,0.6665,0.5611
10,class_weighted,0.5168,0.5833,0.5167
10,class_weighted,0.5441,0.5733,0.5389
10,class_weighted,0.5621,0.6119,0.5361
10,class_weighted,0.4986,0.5327,0.4889
10,class_weighted,0.515,0.5798,0.4667
10,class_weighted,0.5638,0.62,0.5333
10,class_weighted,0.482,0.5389,0.4639
10,class_weighted,0.4742,0.5224,0.4917
10,class_weighted,0.4571,0.5276,0.4167
10,class_weighted,0.5106,0.6114,0.4667
10,class_weighted,0.5389,0.6917,0.4611
10,class_weighted,0.5913,0.7133,0.5833
10,class_weighted,0.4885,0.5473,0.4972
10,class_weighted,0.5364,0.6187,0.5111
15,class_weighted,0.5075,0.5949,0.4639
10,class_weighted,0.4162,0.4943,0.3639
15,class_weighted,0.4346,0.4923,0.4333
15,class_weighted,0.5412,0.5357,0.5583
10,class_weighted,0.4833,0.569,0.4444
10,class_weighted,0.4369,0.5024,0.4361
20,class_weighted,0.5198,0.5806,0.4861
15,class_weighted,0.5624,0.6924,0.5167
15,class_weighted,0.4571,0.5124,0.4389
15,class_weighted,0.4763,0.5343,0.4389
15,class_weighted,0.4787,0.5091,0.4667
15,class_weighted,0.4739,0.5332,0.4444
15,class_weighted,0.5543,0.6184,0.5111
15,class_weighted,0.4986,0.5444,0.4833
15,class_weighted,0.4858,0.5393,0.4639
15,class_weighted,0.5196,0.6033,0.4917
15,class_weighted,0.4387,0.4581,0.45
15,class_weighted,0.4825,0.493,0.4889
15,class_weighted,0.4284,0.449,0.4361
15,class_weighted,0.4808,0.5783,0.4444
15,class_weighted,0.5005,0.5709,0.4639
15,class_weighted,0.4309,0.6557,0.3889
15,class_weighted,0.5643,0.6086,0.5361
15,class_weighted,0.4068,0.4567,0.4111
20,class_weighted,0.4966,0.5242,0.4833
20,class_weighted,0.4346,0.5,0.4167
20,class_weighted,0.5552,0.6514,0.4889
20,class_weighted,0.4746,0.5232,0.4694
20,class_weighted,0.4863,0.5386,0.4944
20,class_weighted,0.4794,0.5457,0.4667
20,class_weighted,0.5533,0.5933,0.5417
20,class_weighted,0.4885,0.4602,0.5611
20,class_weighted,0.5287,0.5819,0.5083
20,class_weighted,0.5458,0.6254,0.4944
20,class_weighted,0.5415,0.5821,0.5139
20,class_weighted,0.4704,0.531,0.4444
20,class_weighted,0.5376,0.6254,0.5139
20,class_weighted,0.4662,0.5365,0.4833
20,class_weighted,0.5404,0.5961,0.5111
20,class_weighted,0.5194,0.575,0.4861
20,class_weighted,0.4952,0.648,0.4639
20,class_weighted,0.5394,0.6189,0.5167
20,class_weighted,0.4886,0.5211,0.4833
