Factor,Method,F1-Score,Correlation,Strength
1,class_weighted,0.2081,0.2678,0.631
1,class_weighted,0.246,0.2837,0.6696
1,class_weighted,0.1924,0.2656,0.7393
1,class_weighted,0.1746,0.2334,0.6682
1,class_weighted,0.2146,0.2624,0.6788
1,class_weighted,0.2253,0.1926,0.6418
1,class_weighted,0.2062,0.2341,0.6493
1,class_weighted,0.2281,0.1907,0.6518
1,class_weighted,0.2892,0.1771,0.7096
1,class_weighted,0.2436,0.2332,0.7393
1,class_weighted,0.3032,0.1688,0.7428
1,class_weighted,0.2276,0.2135,0.703
1,class_weighted,0.2284,0.2235,0.755
1,class_weighted,0.2258,0.2116,0.6961
1,class_weighted,0.2075,0.2429,0.6731
1,class_weighted,0.203,0.2575,0.689
1,class_weighted,0.1773,0.2557,0.6963
1,class_weighted,0.2397,0.1932,0.7127
1,class_weighted,0.2076,0.2436,0.6123
1,class_weighted,0.2485,0.1913,0.6861
2,class_weighted,0.282,0.2371,0.7398
2,class_weighted,0.3099,0.2078,0.7468
2,class_weighted,0.2733,0.2867,0.7419
2,class_weighted,0.277,0.2555,0.7049
2,class_weighted,0.2484,0.2123,0.6964
2,class_weighted,0.3193,0.1692,0.7452
2,class_weighted,0.2206,0.2486,0.7151
2,class_weighted,0.2342,0.224,0.6789
2,class_weighted,0.3009,0.1521,0.7368
2,class_weighted,0.2207,0.2497,0.7895
2,class_weighted,0.2485,0.2306,0.8007
2,class_weighted,0.3073,0.1655,0.7387
2,class_weighted,0.1948,0.253,0.6728
2,class_weighted,0.2346,0.2324,0.7447
2,class_weighted,0.3016,0.2459,0.7521
2,class_weighted,0.2337,0.2565,0.7022
2,class_weighted,0.2891,0.2185,0.7039
2,class_weighted,0.2372,0.2404,0.6945
2,class_weighted,0.2758,0.2146,0.7492
2,class_weighted,0.2799,0.2216,0.7666
3,class_weighted,0.2707,0.286,0.7771
3,class_weighted,0.2211,0.3154,0.7427
3,class_weighted,0.3088,0.2252,0.7749
3,class_weighted,0.2603,0.2283,0.7032
3,class_weighted,0.3056,0.2378,0.7866
3,class_weighted,0.2431,0.3005,0.7481
3,class_weighted,0.3073,0.2131,0.7469
3,class_weighted,0.2725,0.22,0.7323
3,class_weighted,0.249,0.2381,0.7277
3,class_weighted,0.2981,0.2254,0.7791
3,class_weighted,0.2414,0.2433,0.7579
3,class_weighted,0.305,0.2086,0.7408
3,class_weighted,0.271,0.3047,0.7506
3,class_weighted,0.2612,0.269,0.7789
4,class_weighted,0.2629,0.205,0.7647
4,class_weighted,0.2865,0.2762,0.7357
4,class_weighted,0.4082,0.2072,0.8139
4,class_weighted,0.327,0.2411,0.8124
4,class_weighted,0.3139,0.2441,0.7919
3,class_weighted,0.2651,0.2379,0.7427
4,class_weighted,0.3673,0.2527,0.8129
4,class_weighted,0.2886,0.2726,0.7593
3,class_weighted,0.3068,0.1976,0.7567
4,class_weighted,0.2303,0.301,0.7808
4,class_weighted,0.3959,0.2437,0.8194
3,class_weighted,0.2335,0.311,0.7287
3,class_weighted,0.2677,0.2565,0.7499
3,class_weighted,0.2203,0.2593,0.7413
5,class_weighted,0.3177,0.2714,0.8172
5,class_weighted,0.2532,0.2844,0.767
3,class_weighted,0.2889,0.2199,0.7662
5,class_weighted,0.3031,0.2237,0.78
5,class_weighted,0.3619,0.2265,0.7739
5,class_weighted,0.375,0.1863,0.7834
5,class_weighted,0.2295,0.3016,0.7689
5,class_weighted,0.2617,0.3049,0.7513
4,class_weighted,0.3634,0.2562,0.8089
4,class_weighted,0.3217,0.2569,0.7536
4,class_weighted,0.3758,0.3193,0.8342
4,class_weighted,0.2948,0.2339,0.783
4,class_weighted,0.3337,0.2431,0.7956
4,class_weighted,0.2803,0.2826,0.7395
4,class_weighted,0.2563,0.2606,0.7079
4,class_weighted,0.2981,0.2263,0.8107
4,class_weighted,0.2722,0.2065,0.7311
4,class_weighted,0.3656,0.2262,0.8192
4,class_weighted,0.2614,0.3346,0.7766
5,class_weighted,0.3379,0.2971,0.8342
5,class_weighted,0.3551,0.2675,0.8112
5,class_weighted,0.2323,0.2366,0.6956
5,class_weighted,0.2002,0.3221,0.7364
5,class_weighted,0.2364,0.2928,0.7219
5,class_weighted,0.2954,0.2308,0.7617
5,class_weighted,0.2447,0.2622,0.7991
5,class_weighted,0.3277,0.2256,0.7823
5,class_weighted,0.2758,0.3146,0.8022
5,class_weighted,0.3064,0.2606,0.7714
5,class_weighted,0.2603,0.24,0.7544
5,class_weighted,0.3449,0.2431,0.8036
5,class_weighted,0.2721,0.2422,0.7357
10,class_weighted,0.1738,0.2785,0.7777
10,class_weighted,0.2621,0.2442,0.7689
10,class_weighted,0.365,0.2324,0.8205
10,class_weighted,0.376,0.2274,0.8205
10,class_weighted,0.281,0.2884,0.7918
10,class_weighted,0.3432,0.2521,0.7773
10,class_weighted,0.3278,0.2366,0.7723
10,class_weighted,0.383,0.219,0.8151
10,class_weighted,0.3255,0.3122,0.814
10,class_weighted,0.2842,0.2836,0.7414
10,class_weighted,0.2967,0.3057,0.7559
10,class_weighted,0.2495,0.2633,0.7383
10,class_weighted,0.3167,0.3841,0.8519
10,class_weighted,0.344,0.2656,0.8014
10,class_weighted,0.3404,0.2143,0.8209
10,class_weighted,0.3124,0.3407,0.8201
10,class_weighted,0.3084,0.3022,0.7506
15,class_weighted,0.2976,0.3766,0.7937
10,class_weighted,0.2162,0.294,0.8056
15,class_weighted,0.1542,0.428,0.7628
15,class_weighted,0.352,0.3434,0.8247
10,class_weighted,0.3238,0.3314,0.7872
10,class_weighted,0.2533,0.3417,0.7693
20,class_weighted,0.3184,0.2858,0.8052
15,class_weighted,0.3288,0.2597,0.7888
15,class_weighted,0.2729,0.3697,0.8132
15,class_weighted,0.2552,0.3753,0.7762
15,class_weighted,0.3541,0.2329,0.7834
15,class_weighted,0.299,0.263,0.7792
15,class_weighted,0.3643,0.2139,0.8277
15,class_weighted,0.3291,0.3061,0.8182
15,class_weighted,0.1643,0.4349,0.8052
15,class_weighted,0.3328,0.2457,0.7914
15,class_weighted,0.2824,0.4181,0.8411
15,class_weighted,0.3051,0.2286,0.7739
15,class_weighted,0.2788,0.2998,0.746
15,class_weighted,0.2945,0.2699,0.7899
15,class_weighted,0.3389,0.3773,0.8086
15,class_weighted,0.3559,0.254,0.7983
15,class_weighted,0.3322,0.2317,0.7823
15,class_weighted,0.3426,0.2421,0.78
20,class_weighted,0.2592,0.3556,0.7899
20,class_weighted,0.2354,0.3749,0.7754
20,class_weighted,0.199,0.3687,0.7796
20,class_weighted,0.4147,0.2894,0.8224
20,class_weighted,0.2752,0.2768,0.8186
20,class_weighted,0.2962,0.3227,0.7387
20,class_weighted,0.302,0.3019,0.7765
