Factor,Method,F1-Score,Correlation,Strength
1,undersampling,0.1734,0.1219,0.3853
1,undersampling,0.1697,0.1201,0.4118
1,undersampling,0.1672,0.1409,0.3967
1,undersampling,0.1607,0.1185,0.3946
1,undersampling,0.1615,0.095,0.3308
1,undersampling,0.1639,0.1245,0.3654
1,undersampling,0.1588,0.1375,0.3864
1,undersampling,0.1511,0.1397,0.3986
4,undersampling,0.1999,0.2504,0.6453
4,undersampling,0.2145,0.2052,0.6571
4,undersampling,0.2238,0.1746,0.6328
4,undersampling,0.247,0.1836,0.6381
4,undersampling,0.2422,0.1633,0.6455
4,undersampling,0.2284,0.2415,0.5834
4,undersampling,0.2446,0.1731,0.6302
4,undersampling,0.2252,0.242,0.6009
4,undersampling,0.2243,0.194,0.597
4,undersampling,0.2292,0.1973,0.6434
4,undersampling,0.261,0.1586,0.6612
4,undersampling,0.2212,0.1837,0.6362
5,undersampling,0.2631,0.2343,0.7067
5,undersampling,0.1964,0.2596,0.6442
5,undersampling,0.2709,0.2047,0.6854
5,undersampling,0.2555,0.2193,0.6638
5,undersampling,0.2434,0.2304,0.674
5,undersampling,0.2518,0.2222,0.6808
5,undersampling,0.25,0.1606,0.6846
5,undersampling,0.2291,0.2094,0.6765
5,undersampling,0.2703,0.1923,0.6714
5,undersampling,0.2263,0.2081,0.6916
5,undersampling,0.2545,0.1563,0.6572
5,undersampling,0.2418,0.2252,0.6939
5,undersampling,0.204,0.2497,0.6846
5,undersampling,0.2256,0.2308,0.6806
5,undersampling,0.2464,0.2248,0.7129
5,undersampling,0.2014,0.2488,0.6591
5,undersampling,0.2798,0.1996,0.7066
5,undersampling,0.1988,0.2636,0.6731
5,undersampling,0.2253,0.2022,0.6529
5,undersampling,0.2271,0.2369,0.6529
1,undersampling,0.1624,0.1435,0.4234
1,undersampling,0.1958,0.121,0.4468
1,undersampling,0.169,0.1145,0.353
1,undersampling,0.1965,0.1348,0.4707
1,undersampling,0.166,0.1252,0.3967
2,undersampling,0.2154,0.1427,0.5107
1,undersampling,0.196,0.1243,0.459
2,undersampling,0.2112,0.1466,0.5106
1,undersampling,0.1694,0.1317,0.3662
1,undersampling,0.1847,0.1344,0.4546
1,undersampling,0.1717,0.145,0.4346
1,undersampling,0.1815,0.1263,0.3713
1,undersampling,0.1719,0.1231,0.3795
1,undersampling,0.1581,0.1489,0.4307
3,undersampling,0.229,0.1886,0.6465
3,undersampling,0.2181,0.1608,0.585
3,undersampling,0.2057,0.1755,0.5986
3,undersampling,0.2476,0.1683,0.6406
3,undersampling,0.1906,0.184,0.5657
3,undersampling,0.2006,0.1967,0.5314
10,undersampling,0.2557,0.2275,0.7471
3,undersampling,0.2388,0.2215,0.589
3,undersampling,0.215,0.1717,0.5856
3,undersampling,0.2118,0.1851,0.5719
3,undersampling,0.1906,0.2156,0.6434
3,undersampling,0.1975,0.1861,0.525
3,undersampling,0.2213,0.1704,0.6003
3,undersampling,0.1921,0.2048,0.5705
3,undersampling,0.2413,0.186,0.6057
10,undersampling,0.2689,0.224,0.742
3,undersampling,0.2136,0.1854,0.586
3,undersampling,0.2024,0.1659,0.596
3,undersampling,0.2066,0.1545,0.5992
3,undersampling,0.2125,0.152,0.5816
3,undersampling,0.205,0.1997,0.5888
4,undersampling,0.2651,0.2063,0.6173
4,undersampling,0.2614,0.1793,0.6589
4,undersampling,0.2448,0.1723,0.6567
4,undersampling,0.2111,0.213,0.6449
4,undersampling,0.2616,0.198,0.6411
4,undersampling,0.2533,0.1707,0.6184
4,undersampling,0.235,0.1966,0.6469
4,undersampling,0.2134,0.2267,0.6287
3,undersampling,0.213,0.194,0.5698
2,undersampling,0.2214,0.1418,0.5527
2,undersampling,0.1939,0.1636,0.5128
2,undersampling,0.2054,0.1421,0.5372
2,undersampling,0.1592,0.2052,0.5236
2,undersampling,0.2248,0.1513,0.5424
2,undersampling,0.2009,0.1954,0.5387
2,undersampling,0.174,0.161,0.5782
2,undersampling,0.1529,0.1778,0.4968
2,undersampling,0.2079,0.1576,0.5407
2,undersampling,0.1648,0.1736,0.5087
