Factor, Method, F-score, Precision, Recall
1,standard,0.3394,0.7667,0.2194
1,standard,0.2895,0.92,0.1944
1,standard,0.1616,0.7667,0.0972
1,standard,0.3016,0.8833,0.1972
1,standard,0.3521,0.6833,0.2444
1,standard,0.2927,0.8833,0.1972
1,standard,0.2743,0.8667,0.1722
1,standard,0.2921,0.8,0.1944
1,standard,0.2758,0.7,0.1917
1,standard,0.3681,0.8133,0.275
1,standard,0.2582,0.7667,0.1694
1,standard,0.3669,0.85,0.2417
1,standard,0.299,0.6667,0.2
1,standard,0.3322,0.56,0.2417
1,standard,0.2935,0.9,0.2222
1,standard,0.2707,0.7333,0.175
1,standard,0.339,0.8,0.2222
1,standard,0.3038,0.7667,0.1944
1,standard,0.3046,0.9333,0.2139
1,standard,0.2372,0.7,0.1444
2,standard,0.3574,0.8933,0.2444
2,standard,0.3881,0.8643,0.2917
2,standard,0.2663,0.8333,0.175
2,standard,0.3895,0.87,0.2694
2,standard,0.4184,0.8533,0.2972
2,standard,0.3618,0.8933,0.275
2,standard,0.3489,0.9143,0.2389
2,standard,0.3018,0.7,0.1944
2,standard,0.3183,0.8,0.2194
2,standard,0.3214,0.65,0.2167
2,standard,0.4208,0.7867,0.2944
2,standard,0.3527,0.9333,0.2222
2,standard,0.4126,0.88,0.2944
2,standard,0.3573,0.8533,0.2694
2,standard,0.438,0.85,0.2972
2,standard,0.4061,0.8429,0.2944
2,standard,0.3945,0.8167,0.2722
2,standard,0.3772,0.65,0.2667
2,standard,0.3924,0.8133,0.2722
2,standard,0.3895,0.87,0.2694
3,standard,0.4044,0.8533,0.2917
3,standard,0.3295,0.82,0.2194
3,standard,0.3762,0.7867,0.2639
3,standard,0.4875,0.8833,0.3417
3,standard,0.2958,0.7,0.2167
3,standard,0.4577,0.81,0.3472
3,standard,0.4158,0.7333,0.2944
3,standard,0.3834,0.8,0.2667
3,standard,0.3995,0.6867,0.2972
3,standard,0.3505,0.7333,0.2417
3,standard,0.3723,0.85,0.2667
3,standard,0.4496,0.8933,0.3139
3,standard,0.2758,0.6833,0.1944
3,standard,0.3416,0.9333,0.2167
3,standard,0.4121,0.8333,0.3111
3,standard,0.3958,0.85,0.2722
3,standard,0.3867,0.725,0.2861
3,standard,0.3283,0.8,0.2444
3,standard,0.4632,0.92,0.3194
3,standard,0.4766,0.85,0.3444
4,standard,0.4948,0.77,0.3667
4,standard,0.3926,0.6667,0.2972
4,standard,0.4456,0.9029,0.3389
4,standard,0.465,0.8,0.35
4,standard,0.4398,0.7833,0.3167
4,standard,0.4834,0.9333,0.3417
4,standard,0.5478,0.8767,0.4194
5,standard,0.3895,0.8333,0.2667
4,standard,0.3722,0.71,0.2722
5,standard,0.42,0.85,0.2972
4,standard,0.4147,0.75,0.2917
4,standard,0.4545,0.8667,0.3389
4,standard,0.3502,0.8,0.2417
4,standard,0.3418,0.7333,0.2444
4,standard,0.4793,0.7667,0.3639
4,standard,0.4361,0.8167,0.3222
4,standard,0.4633,0.76,0.3472
4,standard,0.4433,0.7767,0.3417
4,standard,0.4824,0.7929,0.3667
4,standard,0.3815,0.8714,0.2944
4,standard,0.3869,0.8267,0.2694
5,standard,0.4315,0.8167,0.3167
5,standard,0.4909,0.8,0.3611
5,standard,0.3969,0.7,0.2972
5,standard,0.5031,0.8433,0.3694
5,standard,0.4265,0.92,0.3139
5,standard,0.2861,0.7762,0.2222
5,standard,0.3672,0.7,0.2694
5,standard,0.342,0.5867,0.25
5,standard,0.3823,0.7,0.2889
5,standard,0.4197,0.8267,0.2889
5,standard,0.3552,0.6143,0.2694
5,standard,0.5135,0.9267,0.3889
4,standard,0.3982,0.75,0.275
5,standard,0.4535,0.8167,0.3361
5,standard,0.4305,0.85,0.2917
5,standard,0.4285,0.8933,0.2944
5,standard,0.41,0.8333,0.2972
5,standard,0.3414,0.62,0.2417
