Factor, Method, F-score, Precision, Recall
1,undersampling,0.3058,0.1896,0.8056
1,undersampling,0.2941,0.1806,0.8028
1,undersampling,0.3089,0.1913,0.8278
1,undersampling,0.2996,0.1831,0.8278
1,undersampling,0.3214,0.1969,0.8778
1,undersampling,0.3045,0.186,0.8556
1,undersampling,0.3067,0.1881,0.8556
1,undersampling,0.2999,0.1842,0.8306
4,undersampling,0.5023,0.4111,0.6583
4,undersampling,0.5245,0.4093,0.7361
4,undersampling,0.517,0.4342,0.7028
4,undersampling,0.4808,0.3794,0.6833
4,undersampling,0.4586,0.3751,0.6139
4,undersampling,0.4807,0.3823,0.6694
4,undersampling,0.5115,0.4157,0.7306
4,undersampling,0.4439,0.3475,0.6389
4,undersampling,0.4252,0.3317,0.6417
4,undersampling,0.4532,0.3594,0.6361
4,undersampling,0.5208,0.3995,0.7556
4,undersampling,0.5171,0.4119,0.7028
5,undersampling,0.502,0.4158,0.6528
5,undersampling,0.5376,0.4603,0.6528
5,undersampling,0.5268,0.4396,0.6611
5,undersampling,0.5365,0.463,0.6556
5,undersampling,0.4307,0.3782,0.5333
5,undersampling,0.5049,0.4537,0.6167
5,undersampling,0.5096,0.4112,0.6806
5,undersampling,0.521,0.4285,0.6806
5,undersampling,0.4851,0.405,0.6111
5,undersampling,0.4945,0.4229,0.6278
5,undersampling,0.5387,0.4504,0.7083
5,undersampling,0.5524,0.4809,0.6833
5,undersampling,0.5405,0.4779,0.6361
5,undersampling,0.5403,0.4719,0.6361
5,undersampling,0.4919,0.4544,0.5917
5,undersampling,0.5293,0.4612,0.6361
5,undersampling,0.5269,0.449,0.6639
5,undersampling,0.4971,0.4571,0.5833
5,undersampling,0.5408,0.4667,0.6778
5,undersampling,0.4999,0.4297,0.6278
1,undersampling,0.2854,0.1726,0.8306
1,undersampling,0.2966,0.1812,0.825
1,undersampling,0.2805,0.1736,0.7556
1,undersampling,0.2901,0.1817,0.7556
1,undersampling,0.2896,0.1757,0.825
2,undersampling,0.4076,0.2813,0.7611
1,undersampling,0.3043,0.1869,0.8278
2,undersampling,0.403,0.272,0.7861
1,undersampling,0.2708,0.1634,0.8028
1,undersampling,0.3007,0.1856,0.8083
1,undersampling,0.3224,0.199,0.8583
1,undersampling,0.3023,0.1843,0.8528
1,undersampling,0.3073,0.1905,0.8028
1,undersampling,0.3039,0.1862,0.8278
3,undersampling,0.4175,0.3093,0.6583
3,undersampling,0.4817,0.3601,0.7333
3,undersampling,0.3552,0.2525,0.6306
3,undersampling,0.4587,0.3412,0.7306
3,undersampling,0.4726,0.3426,0.7806
3,undersampling,0.4275,0.3276,0.7111
3,undersampling,0.4246,0.3081,0.7111
3,undersampling,0.4341,0.3132,0.7139
3,undersampling,0.4255,0.3035,0.7333
10,undersampling,0.4931,0.578,0.4833
