Factor, Method, F-score, Precision, Recall
1,class_weighted,0.9365,0.9469,0.9266
1,class_weighted,0.9358,0.9471,0.9250
1,class_weighted,0.9338,0.9418,0.9261
1,class_weighted,0.9334,0.9421,0.9250
1,class_weighted,0.9346,0.9434,0.9261
1,class_weighted,0.9359,0.9460,0.9261
1,class_weighted,0.9347,0.9453,0.9244
1,class_weighted,0.9337,0.9438,0.9239
1,class_weighted,0.9334,0.9434,0.9239
1,class_weighted,0.9348,0.9445,0.9255
1,class_weighted,0.9357,0.9450,0.9266
1,class_weighted,0.9342,0.9460,0.9228
1,class_weighted,0.9314,0.9420,0.9211
1,class_weighted,0.9345,0.9443,0.9250
1,class_weighted,0.9357,0.9456,0.9261
1,class_weighted,0.9348,0.9443,0.9255
1,class_weighted,0.9329,0.9458,0.9206
1,class_weighted,0.9368,0.9494,0.9250
1,class_weighted,0.9329,0.9456,0.9206
1,class_weighted,0.9357,0.9451,0.9266
2,class_weighted,0.9367,0.9472,0.9266
2,class_weighted,0.9422,0.9548,0.9299
2,class_weighted,0.9377,0.9451,0.9305
2,class_weighted,0.9411,0.9527,0.9300
2,class_weighted,0.9386,0.9474,0.9300
2,class_weighted,0.9416,0.9536,0.9300
2,class_weighted,0.9404,0.9500,0.9311
2,class_weighted,0.9331,0.9442,0.9222
2,class_weighted,0.9420,0.9522,0.9322
2,class_weighted,0.9409,0.9516,0.9305
2,class_weighted,0.9400,0.9469,0.9333
2,class_weighted,0.9400,0.9507,0.9299
2,class_weighted,0.9420,0.9518,0.9327
2,class_weighted,0.9412,0.9516,0.9310
2,class_weighted,0.9384,0.9483,0.9289
3,class_weighted,0.9401,0.9500,0.9305
3,class_weighted,0.9404,0.9526,0.9288
3,class_weighted,0.9400,0.9517,0.9289
3,class_weighted,0.9401,0.9483,0.9322
3,class_weighted,0.9435,0.9523,0.9349
3,class_weighted,0.9394,0.9513,0.9277
3,class_weighted,0.9414,0.9524,0.9310
3,class_weighted,0.9415,0.9506,0.9327
3,class_weighted,0.9394,0.9556,0.9239
2,class_weighted,0.9391,0.9433,0.9349
2,class_weighted,0.9367,0.9471,0.9266
2,class_weighted,0.9401,0.9490,0.9316
2,class_weighted,0.9373,0.9469,0.9283
2,class_weighted,0.9395,0.9499,0.9294
3,class_weighted,0.9424,0.9496,0.9355
3,class_weighted,0.9420,0.9521,0.9321
3,class_weighted,0.9378,0.9472,0.9288
3,class_weighted,0.9408,0.9497,0.9322
3,class_weighted,0.9373,0.9476,0.9272
