Factor,Method,F1-Score,Correlation,Strength
1,class_weighted,0.8615,0.2765,0.7772
1,class_weighted,0.8531,0.3064,0.7633
1,class_weighted,0.8662,0.2840,0.7856
1,class_weighted,0.8442,0.3417,0.7523
1,class_weighted,0.8579,0.2895,0.7708
1,class_weighted,0.8563,0.3122,0.7717
1,class_weighted,0.8572,0.2795,0.7699
1,class_weighted,0.8702,0.2956,0.7920
1,class_weighted,0.8685,0.2571,0.7910
1,class_weighted,0.8565,0.2871,0.7671
1,class_weighted,0.8583,0.2653,0.7726
1,class_weighted,0.8503,0.3355,0.7585
1,class_weighted,0.8474,0.3014,0.7544
1,class_weighted,0.8566,0.3112,0.7708
1,class_weighted,0.8600,0.3066,0.7774
1,class_weighted,0.8664,0.2916,0.7863
1,class_weighted,0.8573,0.2999,0.7701
1,class_weighted,0.8611,0.2861,0.7790
1,class_weighted,0.8654,0.2875,0.7828
1,class_weighted,0.8554,0.2835,0.7729
2,class_weighted,0.8645,0.3209,0.7846
2,class_weighted,0.8776,0.3113,0.8059
2,class_weighted,0.8845,0.3220,0.8158
2,class_weighted,0.8739,0.3063,0.7974
2,class_weighted,0.8792,0.3092,0.8112
2,class_weighted,0.8785,0.2699,0.8055
2,class_weighted,0.8815,0.3149,0.8112
2,class_weighted,0.8718,0.3003,0.7954
2,class_weighted,0.8712,0.3079,0.7953
2,class_weighted,0.8644,0.3189,0.7840
2,class_weighted,0.8673,0.3042,0.7899
2,class_weighted,0.8715,0.3074,0.7972
2,class_weighted,0.8688,0.3162,0.7913
2,class_weighted,0.8757,0.3475,0.8041
2,class_weighted,0.8793,0.3249,0.8062
3,class_weighted,0.8722,0.3248,0.7959
3,class_weighted,0.8754,0.3220,0.8031
3,class_weighted,0.8732,0.3162,0.7952
3,class_weighted,0.8913,0.2716,0.8251
3,class_weighted,0.8706,0.3363,0.7954
3,class_weighted,0.8598,0.3489,0.7793
3,class_weighted,0.8732,0.3389,0.7967
3,class_weighted,0.8673,0.3172,0.7905
3,class_weighted,0.8721,0.3579,0.7985
2,class_weighted,0.8786,0.3031,0.8068
2,class_weighted,0.8829,0.2935,0.8132
2,class_weighted,0.8648,0.3288,0.7840
2,class_weighted,0.8736,0.3220,0.8021
2,class_weighted,0.8780,0.2722,0.8072
3,class_weighted,0.8845,0.3209,0.8164
3,class_weighted,0.8735,0.3253,0.7998
3,class_weighted,0.8737,0.3268,0.7995
3,class_weighted,0.8761,0.3101,0.8037
3,class_weighted,0.8790,0.3100,0.8070
3,class_weighted,0.8909,0.3037,0.8256
3,class_weighted,0.8810,0.2961,0.8115
3,class_weighted,0.8683,0.3413,0.7910
3,class_weighted,0.8745,0.3479,0.8030
3,class_weighted,0.8725,0.3378,0.7992
3,class_weighted,0.8771,0.3132,0.8039
4,class_weighted,0.8774,0.3170,0.8053
4,class_weighted,0.8770,0.3099,0.8028
4,class_weighted,0.8815,0.3172,0.8092
4,class_weighted,0.8789,0.3286,0.8121
4,class_weighted,0.8784,0.3387,0.8089
4,class_weighted,0.8804,0.2954,0.8088
4,class_weighted,0.8670,0.3452,0.7922
4,class_weighted,0.8856,0.3319,0.8197
4,class_weighted,0.8760,0.3052,0.8052
