Factor,Method,F1-Score,Correlation,Strength
1,standard,0.8634,0.2930,0.7869
1,standard,0.8567,0.3165,0.7749
1,standard,0.8375,0.3597,0.7543
1,standard,0.8442,0.2978,0.7573
1,standard,0.8503,0.3070,0.7656
1,standard,0.8510,0.3662,0.7690
1,standard,0.8570,0.3228,0.7783
1,standard,0.8517,0.3576,0.7725
1,standard,0.8619,0.2969,0.7854
1,standard,0.8555,0.3314,0.7786
1,standard,0.8528,0.3290,0.7731
1,standard,0.8618,0.3067,0.7898
1,standard,0.8734,0.2789,0.8005
1,standard,0.8487,0.3121,0.7667
1,standard,0.8592,0.3148,0.7802
1,standard,0.8555,0.3144,0.7749
1,standard,0.8504,0.3220,0.7705
1,standard,0.8658,0.3132,0.7929
1,standard,0.8433,0.3337,0.7568
1,standard,0.8495,0.3559,0.7697
2,standard,0.8746,0.3324,0.8071
2,standard,0.8791,0.3432,0.8136
2,standard,0.8693,0.2824,0.7953
2,standard,0.8696,0.3482,0.7970
2,standard,0.8673,0.3333,0.7955
2,standard,0.8654,0.3229,0.7933
2,standard,0.8778,0.3293,0.8092
2,standard,0.8645,0.3260,0.7896
2,standard,0.8687,0.3256,0.7961
2,standard,0.8809,0.3046,0.8140
2,standard,0.8678,0.3484,0.7941
2,standard,0.8760,0.2902,0.8082
2,standard,0.8787,0.3080,0.8112
2,standard,0.8727,0.3180,0.8032
2,standard,0.8641,0.3379,0.7895
2,standard,0.8752,0.3232,0.8065
2,standard,0.8655,0.3322,0.7914
2,standard,0.8702,0.3364,0.7967
2,standard,0.8731,0.3343,0.8027
3,standard,0.8789,0.3325,0.8105
3,standard,0.8730,0.3648,0.8028
3,standard,0.8793,0.3153,0.8099
3,standard,0.8795,0.3503,0.8108
2,standard,0.8475,0.3847,0.7675
3,standard,0.8750,0.3174,0.8027
3,standard,0.8839,0.3265,0.8160
3,standard,0.8730,0.3409,0.8015
3,standard,0.8873,0.3207,0.8234
3,standard,0.8667,0.3341,0.7948
3,standard,0.8700,0.3230,0.7922
3,standard,0.8875,0.3193,0.8238
3,standard,0.8704,0.3619,0.7972
3,standard,0.8723,0.3404,0.8028
3,standard,0.8678,0.3446,0.7943
3,standard,0.8836,0.3262,0.8183
3,standard,0.8778,0.2980,0.8086
3,standard,0.8680,0.3620,0.7942
3,standard,0.8719,0.3162,0.7994
3,standard,0.8802,0.3237,0.8128
3,standard,0.8768,0.3186,0.8072
4,standard,0.8697,0.3643,0.7981
4,standard,0.8779,0.3400,0.8096
4,standard,0.8663,0.3657,0.7919
4,standard,0.8870,0.3235,0.8235
4,standard,0.8732,0.3517,0.8039
4,standard,0.8788,0.3137,0.8094
4,standard,0.8871,0.3262,0.8206
4,standard,0.8780,0.3513,0.8054
4,standard,0.8742,0.3333,0.8015
4,standard,0.8782,0.3423,0.8069
4,standard,0.8811,0.3455,0.8137
4,standard,0.8807,0.3036,0.8129
4,standard,0.8899,0.3361,0.8280
4,standard,0.8749,0.3227,0.8038
5,standard,0.8772,0.3036,0.8060
4,standard,0.8798,0.3659,0.8111
5,standard,0.8766,0.3414,0.8077
4,standard,0.8706,0.3713,0.7958
4,standard,0.8772,0.3461,0.8071
5,standard,0.8860,0.2987,0.8220
4,standard,0.8741,0.3250,0.7994
5,standard,0.8804,0.3556,0.8118
4,standard,0.8762,0.3323,0.8065
4,standard,0.8816,0.3513,0.8134
5,standard,0.8816,0.3138,0.8124
5,standard,0.8869,0.3167,0.8209
5,standard,0.8919,0.3410,0.8290
5,standard,0.8778,0.3347,0.8085
5,standard,0.8676,0.3519,0.7894
