Factor,Method,F1-Score,Correlation,Strength
1,undersampling,0.8533,0.2875,0.7664
1,undersampling,0.8559,0.2646,0.7716
1,undersampling,0.8624,0.2474,0.7759
1,undersampling,0.8559,0.2686,0.7698
1,undersampling,0.8503,0.2945,0.7590
1,undersampling,0.8511,0.2780,0.7616
1,undersampling,0.8533,0.2902,0.7637
1,undersampling,0.8495,0.2683,0.7565
1,undersampling,0.8586,0.2831,0.7705
1,undersampling,0.8687,0.2744,0.7906
1,undersampling,0.8553,0.2779,0.7682
1,undersampling,0.8696,0.2651,0.7904
1,undersampling,0.8650,0.2544,0.7843
1,undersampling,0.8486,0.2975,0.7562
1,undersampling,0.8442,0.2915,0.7532
1,undersampling,0.8437,0.2915,0.7506
1,undersampling,0.8525,0.3115,0.7669
1,undersampling,0.8565,0.3056,0.7708
1,undersampling,0.8554,0.2619,0.7678
1,undersampling,0.8494,0.2838,0.7605
2,undersampling,0.8607,0.3358,0.7782
2,undersampling,0.8703,0.3061,0.7938
2,undersampling,0.8702,0.3010,0.7905
2,undersampling,0.8628,0.3000,0.7803
2,undersampling,0.8656,0.3037,0.7867
2,undersampling,0.8513,0.3486,0.7652
2,undersampling,0.8665,0.2722,0.7895
2,undersampling,0.8715,0.2936,0.7947
2,undersampling,0.8688,0.3111,0.7890
2,undersampling,0.8624,0.3032,0.7821
2,undersampling,0.8683,0.2764,0.7901
2,undersampling,0.8670,0.3200,0.7894
2,undersampling,0.8727,0.2894,0.7951
2,undersampling,0.8653,0.3061,0.7869
2,undersampling,0.8590,0.3399,0.7759
2,undersampling,0.8615,0.3182,0.7832
2,undersampling,0.8573,0.3279,0.7736
2,undersampling,0.8708,0.2961,0.7949
2,undersampling,0.8648,0.3306,0.7848
2,undersampling,0.8626,0.2953,0.7823
4,undersampling,0.8727,0.3511,0.7976
4,undersampling,0.8773,0.3207,0.8074
4,undersampling,0.8852,0.3015,0.8175
4,undersampling,0.8711,0.3438,0.7978
3,undersampling,0.8684,0.3454,0.7919
3,undersampling,0.8667,0.3474,0.7865
3,undersampling,0.8704,0.3541,0.7947
3,undersampling,0.8656,0.3147,0.7882
3,undersampling,0.8838,0.2940,0.8152
3,undersampling,0.8761,0.3420,0.8036
3,undersampling,0.8832,0.2632,0.8109
3,undersampling,0.8713,0.3188,0.7934
3,undersampling,0.8749,0.3205,0.8008
3,undersampling,0.8699,0.3474,0.7930
3,undersampling,0.8679,0.3593,0.7892
3,undersampling,0.8724,0.3133,0.8012
3,undersampling,0.8678,0.3052,0.7905
3,undersampling,0.8726,0.3343,0.7980
5,undersampling,0.8922,0.3097,0.8292
5,undersampling,0.8768,0.3162,0.8057
3,undersampling,0.8747,0.3376,0.7982
3,undersampling,0.8729,0.3128,0.7976
3,undersampling,0.8696,0.3113,0.7935
3,undersampling,0.8773,0.3011,0.8033
3,undersampling,0.8749,0.3514,0.7985
