Factor, Method, F-score, Precision, Recall
1,standard,0.9331,0.9504,0.9167
1,standard,0.9335,0.9537,0.9145
1,standard,0.9293,0.9474,0.9123
1,standard,0.9318,0.9493,0.9151
1,standard,0.9322,0.9515,0.9140
1,standard,0.9322,0.9550,0.9106
1,standard,0.9346,0.9510,0.9189
1,standard,0.9327,0.9518,0.9145
1,standard,0.9325,0.9502,0.9156
1,standard,0.9317,0.9497,0.9145
1,standard,0.9343,0.9515,0.9178
1,standard,0.9332,0.9504,0.9167
1,standard,0.9324,0.9522,0.9134
1,standard,0.9332,0.9512,0.9161
1,standard,0.9333,0.9537,0.9140
1,standard,0.9345,0.9525,0.9173
1,standard,0.9337,0.9551,0.9134
1,standard,0.9317,0.9519,0.9129
1,standard,0.9327,0.9535,0.9128
1,standard,0.9354,0.9536,0.9178
2,standard,0.9391,0.9557,0.9233
2,standard,0.9401,0.9558,0.9250
2,standard,0.9391,0.9525,0.9261
2,standard,0.9376,0.9561,0.9200
2,standard,0.9344,0.9541,0.9156
2,standard,0.9356,0.9530,0.9195
2,standard,0.9411,0.9572,0.9255
2,standard,0.9387,0.9576,0.9206
2,standard,0.9373,0.9526,0.9228
2,standard,0.9380,0.9540,0.9228
2,standard,0.9367,0.9559,0.9184
2,standard,0.9374,0.9555,0.9200
2,standard,0.9375,0.9534,0.9222
2,standard,0.9374,0.9544,0.9211
2,standard,0.9377,0.9538,0.9222
2,standard,0.9344,0.9500,0.9195
2,standard,0.9373,0.9554,0.9200
2,standard,0.9395,0.9545,0.9250
2,standard,0.9382,0.9502,0.9266
3,standard,0.9388,0.9575,0.9211
3,standard,0.9372,0.9534,0.9217
3,standard,0.9387,0.9513,0.9266
3,standard,0.9383,0.9535,0.9239
2,standard,0.9370,0.9532,0.9216
3,standard,0.9374,0.9540,0.9217
3,standard,0.9372,0.9527,0.9222
3,standard,0.9407,0.9536,0.9283
3,standard,0.9412,0.9521,0.9305
3,standard,0.9384,0.9527,0.9250
3,standard,0.9402,0.9539,0.9272
3,standard,0.9389,0.9535,0.9250
3,standard,0.9407,0.9584,0.9239
3,standard,0.9395,0.9551,0.9244
3,standard,0.9394,0.9561,0.9233
3,standard,0.9389,0.9558,0.9228
3,standard,0.9422,0.9590,0.9261
3,standard,0.9406,0.9604,0.9217
3,standard,0.9392,0.9540,0.9250
3,standard,0.9408,0.9567,0.9255
3,standard,0.9410,0.9583,0.9244
4,standard,0.9425,0.9533,0.9322
4,standard,0.9402,0.9533,0.9277
4,standard,0.9404,0.9545,0.9266
4,standard,0.9391,0.9545,0.9244
4,standard,0.9412,0.9558,0.9272
4,standard,0.9410,0.9547,0.9277
4,standard,0.9386,0.9539,0.9239
4,standard,0.9420,0.9522,0.9321
4,standard,0.9414,0.9568,0.9266
4,standard,0.9396,0.9572,0.9228
4,standard,0.9395,0.9536,0.9261
4,standard,0.9401,0.9546,0.9261
4,standard,0.9418,0.9563,0.9277
4,standard,0.9416,0.9536,0.9300
5,standard,0.9415,0.9569,0.9267
4,standard,0.9388,0.9551,0.9233
5,standard,0.9434,0.9576,0.9299
4,standard,0.9404,0.9542,0.9272
4,standard,0.9415,0.9558,0.9277
5,standard,0.9384,0.9537,0.9239
4,standard,0.9407,0.9536,0.9283
5,standard,0.9382,0.9513,0.9255
4,standard,0.9394,0.9555,0.9239
4,standard,0.9392,0.9536,0.9255
5,standard,0.9400,0.9527,0.9277
5,standard,0.9401,0.9545,0.9261
5,standard,0.9384,0.9523,0.9250
5,standard,0.9427,0.9558,0.9299
5,standard,0.9402,0.9491,0.9316
5,standard,0.9418,0.9553,0.9289
5,standard,0.9395,0.9559,0.9239
5,standard,0.9379,0.9508,0.9255
5,standard,0.9405,0.9572,0.9244
5,standard,0.9403,0.9561,0.9250
5,standard,0.9415,0.9559,0.9278
5,standard,0.9411,0.9562,0.9266
5,standard,0.9404,0.9506,0.9305
5,standard,0.9426,0.9573,0.9283
5,standard,0.9397,0.9555,0.9244
5,standard,0.9428,0.9579,0.9283
10,standard,0.9397,0.9540,0.9261
10,standard,0.9403,0.9553,0.9261
10,standard,0.9428,0.9586,0.9277
10,standard,0.9418,0.9552,0.9289
10,standard,0.9407,0.9583,0.9239
10,standard,0.9390,0.9524,0.9261
10,standard,0.9396,0.9525,0.9272
10,standard,0.9441,0.9565,0.9322
10,standard,0.9430,0.9548,0.9316
10,standard,0.9419,0.9547,0.9294
10,standard,0.9397,0.9558,0.9244
10,standard,0.9383,0.9499,0.9272
10,standard,0.9401,0.9547,0.9261
10,standard,0.9375,0.9522,0.9233
10,standard,0.9415,0.9516,0.9316
10,standard,0.9393,0.9530,0.9261
15,standard,0.9427,0.9553,0.9305
10,standard,0.9402,0.9525,0.9283
10,standard,0.9393,0.9555,0.9239
10,standard,0.9411,0.9521,0.9305
10,standard,0.9399,0.9530,0.9272
15,standard,0.9412,0.9556,0.9272
15,standard,0.9434,0.9574,0.9300
15,standard,0.9413,0.9555,0.9277
15,standard,0.9419,0.9542,0.9300
15,standard,0.9416,0.9536,0.9300
15,standard,0.9432,0.9564,0.9305
15,standard,0.9407,0.9542,0.9278
15,standard,0.9413,0.9542,0.9288
15,standard,0.9432,0.9569,0.9300
15,standard,0.9423,0.9527,0.9322
15,standard,0.9411,0.9531,0.9294
15,standard,0.9407,0.9546,0.9272
15,standard,0.9432,0.9564,0.9305
15,standard,0.9397,0.9551,0.9250
15,standard,0.9408,0.9538,0.9283
15,standard,0.9425,0.9543,0.9310
20,standard,0.9402,0.9530,0.9277
20,standard,0.9428,0.9543,0.9316
20,standard,0.9424,0.9506,0.9349
20,standard,0.9426,0.9564,0.9294
20,standard,0.9465,0.9598,0.9338
15,standard,0.9419,0.9572,0.9272
20,standard,0.9419,0.9498,0.9344
20,standard,0.9414,0.9532,0.9299
15,standard,0.9387,0.9513,0.9266
20,standard,0.9422,0.9554,0.9294
15,standard,0.9384,0.9524,0.9250
20,standard,0.9419,0.9538,0.9305
20,standard,0.9390,0.9529,0.9255
20,standard,0.9414,0.9516,0.9316
20,standard,0.9408,0.9538,0.9283
20,standard,0.9433,0.9532,0.9338
20,standard,0.9386,0.9489,0.9288
20,standard,0.9445,0.9607,0.9288
20,standard,0.9428,0.9533,0.9327
20,standard,0.9382,0.9522,0.9250
20,standard,0.9414,0.9531,0.9300
20,standard,0.9424,0.9553,0.9300
20,standard,0.9428,0.9532,0.9327
