Factor, Method, F-score, Precision, Recall
1,undersampling,0.9345,0.9336,0.9355
1,undersampling,0.9347,0.9342,0.9355
1,undersampling,0.9369,0.9363,0.9377
1,undersampling,0.9345,0.9327,0.9366
1,undersampling,0.9338,0.9341,0.9338
1,undersampling,0.9361,0.9361,0.9360
1,undersampling,0.9362,0.9343,0.9382
1,undersampling,0.9337,0.9315,0.9360
1,undersampling,0.9351,0.9316,0.9388
1,undersampling,0.9362,0.9343,0.9382
1,undersampling,0.9349,0.9316,0.9382
1,undersampling,0.9350,0.9353,0.9349
1,undersampling,0.9360,0.9327,0.9393
1,undersampling,0.9359,0.9333,0.9388
1,undersampling,0.9305,0.9299,0.9316
1,undersampling,0.9334,0.9315,0.9355
1,undersampling,0.9332,0.9349,0.9316
1,undersampling,0.9314,0.9307,0.9322
1,undersampling,0.9343,0.9306,0.9382
1,undersampling,0.9344,0.9341,0.9349
2,undersampling,0.9348,0.9370,0.9327
2,undersampling,0.9420,0.9437,0.9404
2,undersampling,0.9382,0.9393,0.9371
2,undersampling,0.9385,0.9419,0.9355
2,undersampling,0.9349,0.9359,0.9338
2,undersampling,0.9396,0.9433,0.9360
2,undersampling,0.9409,0.9417,0.9404
2,undersampling,0.9392,0.9386,0.9399
2,undersampling,0.9418,0.9422,0.9415
2,undersampling,0.9396,0.9391,0.9404
2,undersampling,0.9378,0.9392,0.9366
2,undersampling,0.9419,0.9412,0.9426
2,undersampling,0.9412,0.9416,0.9410
2,undersampling,0.9365,0.9377,0.9355
2,undersampling,0.9369,0.9395,0.9344
2,undersampling,0.9371,0.9407,0.9338
2,undersampling,0.9392,0.9409,0.9377
2,undersampling,0.9357,0.9366,0.9349
2,undersampling,0.9390,0.9438,0.9344
2,undersampling,0.9403,0.9381,0.9426
4,undersampling,0.9433,0.9497,0.9371
4,undersampling,0.9396,0.9485,0.9310
4,undersampling,0.9416,0.9498,0.9338
4,undersampling,0.9425,0.9492,0.9360
3,undersampling,0.9404,0.9449,0.9360
3,undersampling,0.9406,0.9425,0.9388
3,undersampling,0.9384,0.9403,0.9366
3,undersampling,0.9399,0.9444,0.9355
3,undersampling,0.9395,0.9458,0.9333
3,undersampling,0.9408,0.9439,0.9377
3,undersampling,0.9392,0.9424,0.9360
3,undersampling,0.9372,0.9402,0.9344
3,undersampling,0.9456,0.9516,0.9399
3,undersampling,0.9429,0.9483,0.9377
3,undersampling,0.9421,0.9466,0.9377
3,undersampling,0.9393,0.9440,0.9349
3,undersampling,0.9439,0.9500,0.9382
3,undersampling,0.9386,0.9424,0.9349
5,undersampling,0.9409,0.9471,0.9349
5,undersampling,0.9433,0.9502,0.9366
3,undersampling,0.9401,0.9418,0.9388
3,undersampling,0.9382,0.9434,0.9333
3,undersampling,0.9426,0.9477,0.9377
3,undersampling,0.9392,0.9444,0.9344
3,undersampling,0.9399,0.9439,0.9360
5,undersampling,0.9375,0.9454,0.9299
5,undersampling,0.9413,0.9501,0.9327
5,undersampling,0.9440,0.9499,0.9382
5,undersampling,0.9431,0.9523,0.9343
5,undersampling,0.9404,0.9490,0.9327
3,undersampling,0.9412,0.9460,0.9366
5,undersampling,0.9393,0.9443,0.9344
5,undersampling,0.9397,0.9425,0.9371
5,undersampling,0.9427,0.9513,0.9344
5,undersampling,0.9412,0.9472,0.9355
5,undersampling,0.9404,0.9489,0.9322
5,undersampling,0.9446,0.9536,0.9360
5,undersampling,0.9422,0.9447,0.9399
5,undersampling,0.9407,0.9497,0.9322
5,undersampling,0.9418,0.9455,0.9382
5,undersampling,0.9427,0.9461,0.9393
5,undersampling,0.9402,0.9474,0.9333
5,undersampling,0.9375,0.9403,0.9349
5,undersampling,0.9434,0.9497,0.9376
4,undersampling,0.9396,0.9478,0.9316
4,undersampling,0.9405,0.9430,0.9382
4,undersampling,0.9414,0.9476,0.9355
4,undersampling,0.9440,0.9443,0.9437
4,undersampling,0.9378,0.9437,0.9322
4,undersampling,0.9424,0.9467,0.9382
4,undersampling,0.9387,0.9489,0.9288
4,undersampling,0.9402,0.9464,0.9343
4,undersampling,0.9421,0.9471,0.9371
4,undersampling,0.9399,0.9486,0.9316
4,undersampling,0.9417,0.9482,0.9355
4,undersampling,0.9417,0.9481,0.9355
4,undersampling,0.9416,0.9496,0.9338
4,undersampling,0.9403,0.9482,0.9327
4,undersampling,0.9420,0.9476,0.9366
4,undersampling,0.9420,0.9486,0.9355
10,undersampling,0.9429,0.9523,0.9338
10,undersampling,0.9419,0.9498,0.9344
10,undersampling,0.9442,0.9544,0.9344
10,undersampling,0.9403,0.9509,0.9300
10,undersampling,0.9446,0.9545,0.9349
10,undersampling,0.9426,0.9488,0.9366
10,undersampling,0.9410,0.9547,0.9278
10,undersampling,0.9433,0.9504,0.9366
10,undersampling,0.9400,0.9515,0.9289
10,undersampling,0.9449,0.9548,0.9355
10,undersampling,0.9410,0.9541,0.9283
10,undersampling,0.9426,0.9528,0.9327
10,undersampling,0.9409,0.9506,0.9316
10,undersampling,0.9407,0.9495,0.9322
10,undersampling,0.9405,0.9520,0.9294
10,undersampling,0.9410,0.9537,0.9289
10,undersampling,0.9413,0.9531,0.9300
10,undersampling,0.9413,0.9495,0.9333
10,undersampling,0.9401,0.9504,0.9299
10,undersampling,0.9414,0.9532,0.9300
15,undersampling,0.9381,0.9518,0.9250
15,undersampling,0.9433,0.9542,0.9327
15,undersampling,0.9418,0.9519,0.9321
15,undersampling,0.9392,0.9499,0.9288
15,undersampling,0.9420,0.9527,0.9316
15,undersampling,0.9442,0.9509,0.9377
15,undersampling,0.9436,0.9539,0.9338
15,undersampling,0.9439,0.9508,0.9371
15,undersampling,0.9396,0.9478,0.9316
15,undersampling,0.9421,0.9501,0.9344
15,undersampling,0.9433,0.9544,0.9327
15,undersampling,0.9402,0.9535,0.9272
15,undersampling,0.9407,0.9551,0.9266
15,undersampling,0.9439,0.9539,0.9344
15,undersampling,0.9457,0.9557,0.9360
15,undersampling,0.9424,0.9515,0.9338
15,undersampling,0.9384,0.9478,0.9294
15,undersampling,0.9403,0.9455,0.9355
15,undersampling,0.9428,0.9523,0.9338
15,undersampling,0.9391,0.9500,0.9289
20,undersampling,0.9428,0.9543,0.9316
20,undersampling,0.9431,0.9502,0.9360
20,undersampling,0.9432,0.9508,0.9360
20,undersampling,0.9400,0.9521,0.9283
20,undersampling,0.9439,0.9550,0.9333
20,undersampling,0.9433,0.9519,0.9349
20,undersampling,0.9410,0.9500,0.9322
20,undersampling,0.9456,0.9531,0.9382
20,undersampling,0.9426,0.9527,0.9327
20,undersampling,0.9412,0.9479,0.9349
20,undersampling,0.9414,0.9485,0.9344
20,undersampling,0.9430,0.9514,0.9349
20,undersampling,0.9427,0.9513,0.9344
20,undersampling,0.9432,0.9525,0.9344
20,undersampling,0.9416,0.9496,0.9338
20,undersampling,0.9423,0.9498,0.9349
20,undersampling,0.9449,0.9540,0.9360
20,undersampling,0.9415,0.9511,0.9322
20,undersampling,0.9397,0.9514,0.9283
20,undersampling,0.9400,0.9479,0.9322
