Factor, Method, F-score, Precision, Recall
1,class_weighted,0.3830,0.3463,0.4317
1,class_weighted,0.4056,0.3620,0.4695
1,class_weighted,0.4151,0.3689,0.4811
1,class_weighted,0.4037,0.3495,0.4809
1,class_weighted,0.3861,0.3397,0.4535
1,class_weighted,0.3869,0.3405,0.4530
1,class_weighted,0.4040,0.3565,0.4697
1,class_weighted,0.3992,0.3535,0.4650
1,class_weighted,0.4130,0.3536,0.4973
1,class_weighted,0.4075,0.3636,0.4641
1,class_weighted,0.3931,0.3416,0.4646
1,class_weighted,0.3843,0.3349,0.4593
1,class_weighted,0.3904,0.3541,0.4432
1,class_weighted,0.4168,0.3736,0.4812
1,class_weighted,0.4083,0.3537,0.4971
1,class_weighted,0.3738,0.3322,0.4321
1,class_weighted,0.3891,0.3513,0.4480
1,class_weighted,0.3884,0.3424,0.4536
1,class_weighted,0.3970,0.3415,0.4806
1,class_weighted,0.3633,0.3215,0.4200
2,class_weighted,0.3846,0.4119,0.3826
2,class_weighted,0.3601,0.3775,0.3500
2,class_weighted,0.4170,0.4327,0.4144
2,class_weighted,0.4183,0.4455,0.3989
2,class_weighted,0.3954,0.3902,0.4369
2,class_weighted,0.4320,0.4441,0.4320
2,class_weighted,0.4145,0.4438,0.3937
2,class_weighted,0.3892,0.3706,0.4266
2,class_weighted,0.3947,0.3126,0.5359
2,class_weighted,0.3890,0.3735,0.4155
2,class_weighted,0.3855,0.4675,0.3503
2,class_weighted,0.3752,0.3561,0.4156
2,class_weighted,0.3898,0.3939,0.3985
2,class_weighted,0.4030,0.3967,0.4263
2,class_weighted,0.3870,0.4086,0.3934
2,class_weighted,0.4026,0.4262,0.3875
2,class_weighted,0.3973,0.3844,0.4312
2,class_weighted,0.3822,0.4037,0.3661
2,class_weighted,0.3675,0.3602,0.3991
2,class_weighted,0.4253,0.4386,0.4474
3,class_weighted,0.3929,0.3556,0.4428
3,class_weighted,0.4235,0.4140,0.4488
3,class_weighted,0.3743,0.3422,0.4149
3,class_weighted,0.4128,0.3743,0.4638
3,class_weighted,0.4149,0.3828,0.4595
3,class_weighted,0.4091,0.3628,0.4755
3,class_weighted,0.3460,0.3843,0.3339
3,class_weighted,0.3884,0.3516,0.4372
3,class_weighted,0.4408,0.3940,0.5024
3,class_weighted,0.4271,0.3849,0.4808
3,class_weighted,0.3829,0.3482,0.4315
3,class_weighted,0.3737,0.4614,0.3171
3,class_weighted,0.4251,0.3770,0.4916
3,class_weighted,0.4296,0.3860,0.4923
3,class_weighted,0.4114,0.3745,0.4587
3,class_weighted,0.4314,0.4010,0.4755
3,class_weighted,0.3803,0.3800,0.4050
3,class_weighted,0.4153,0.4681,0.3767
3,class_weighted,0.4145,0.3627,0.4859
3,class_weighted,0.4006,0.3488,0.4751
4,class_weighted,0.4419,0.4359,0.4530
4,class_weighted,0.3566,0.3505,0.3665
4,class_weighted,0.4247,0.4027,0.4544
4,class_weighted,0.4104,0.4148,0.4101
4,class_weighted,0.4038,0.4273,0.3947
4,class_weighted,0.3949,0.4144,0.3820
4,class_weighted,0.4104,0.4076,0.4152
4,class_weighted,0.4286,0.4499,0.4155
4,class_weighted,0.4135,0.4241,0.4159
4,class_weighted,0.4344,0.4505,0.4261
4,class_weighted,0.4261,0.4193,0.4377
4,class_weighted,0.4022,0.4130,0.4042
4,class_weighted,0.4122,0.3922,0.4372
4,class_weighted,0.4016,0.3783,0.4324
4,class_weighted,0.4021,0.4183,0.3932
4,class_weighted,0.4071,0.4613,0.3835
5,class_weighted,0.3813,0.4081,0.3611
4,class_weighted,0.4136,0.4157,0.4152
4,class_weighted,0.4082,0.4134,0.4104
5,class_weighted,0.4227,0.4738,0.3875
4,class_weighted,0.4326,0.4461,0.4209
4,class_weighted,0.4217,0.4090,0.4372
5,class_weighted,0.4471,0.4737,0.4261
5,class_weighted,0.3941,0.4386,0.3661
5,class_weighted,0.4157,0.4436,0.3989
5,class_weighted,0.4123,0.4698,0.3719
5,class_weighted,0.3839,0.4339,0.3491
5,class_weighted,0.4157,0.4368,0.3995
5,class_weighted,0.4134,0.4502,0.3932
5,class_weighted,0.4445,0.4792,0.4209
5,class_weighted,0.4066,0.4306,0.3874
5,class_weighted,0.3581,0.4285,0.3117
5,class_weighted,0.4045,0.4601,0.3662
5,class_weighted,0.4076,0.4658,0.3661
5,class_weighted,0.3711,0.4341,0.3284
5,class_weighted,0.3864,0.4336,0.3500
5,class_weighted,0.4394,0.4614,0.4260
5,class_weighted,0.3950,0.4543,0.3554
5,class_weighted,0.4156,0.4847,0.3662
5,class_weighted,0.4241,0.4666,0.3935
10,class_weighted,0.3065,0.4534,0.3048
10,class_weighted,0.3174,0.4791,0.2404
10,class_weighted,0.3664,0.5084,0.2896
10,class_weighted,0.3216,0.4421,0.3159
10,class_weighted,0.3103,0.3174,0.4060
10,class_weighted,0.3785,0.4662,0.3557
10,class_weighted,0.3654,0.4697,0.3492
10,class_weighted,0.3358,0.3999,0.3922
10,class_weighted,0.3411,0.4772,0.3060
10,class_weighted,0.3825,0.6180,0.2902
10,class_weighted,0.4211,0.6200,0.3324
10,class_weighted,0.3707,0.5824,0.2833
10,class_weighted,0.2754,0.3479,0.3431
10,class_weighted,0.3310,0.3876,0.3719
10,class_weighted,0.3162,0.3926,0.3649
10,class_weighted,0.3295,0.4709,0.3000
10,class_weighted,0.3901,0.5544,0.3110
10,class_weighted,0.3241,0.3177,0.4195
10,class_weighted,0.3170,0.3963,0.3486
10,class_weighted,0.3329,0.5718,0.2353
15,class_weighted,0.3152,0.3918,0.3754
15,class_weighted,0.2890,0.2002,0.5243
15,class_weighted,0.3170,0.5424,0.2300
15,class_weighted,0.3606,0.5846,0.2682
15,class_weighted,0.3004,0.2081,0.5411
15,class_weighted,0.3335,0.4646,0.3060
15,class_weighted,0.2964,0.5050,0.2832
15,class_weighted,0.2975,0.2096,0.5141
15,class_weighted,0.3469,0.4852,0.3437
15,class_weighted,0.2999,0.3192,0.4129
15,class_weighted,0.3317,0.4586,0.3066
15,class_weighted,0.2958,0.2080,0.5137
15,class_weighted,0.3064,0.4549,0.3002
15,class_weighted,0.3122,0.2166,0.5623
15,class_weighted,0.2579,0.2593,0.4159
15,class_weighted,0.2970,0.5234,0.2138
15,class_weighted,0.3253,0.3526,0.4140
15,class_weighted,0.3581,0.4885,0.3380
15,class_weighted,0.3465,0.6343,0.2405
15,class_weighted,0.3148,0.2193,0.5629
20,class_weighted,0.3137,0.3523,0.4218
20,class_weighted,0.3019,0.3518,0.4225
20,class_weighted,0.2977,0.2053,0.5464
20,class_weighted,0.3146,0.2212,0.5467
20,class_weighted,0.3128,0.2179,0.5581
20,class_weighted,0.3030,0.2120,0.5353
20,class_weighted,0.3194,0.3318,0.4327
20,class_weighted,0.3346,0.5023,0.3161
20,class_weighted,0.2839,0.1989,0.5032
20,class_weighted,0.2999,0.2083,0.5410
20,class_weighted,0.3039,0.2121,0.5456
20,class_weighted,0.3039,0.2183,0.5077
20,class_weighted,0.3063,0.2165,0.5237
20,class_weighted,0.2717,0.3015,0.4044
20,class_weighted,0.3156,0.5891,0.2186
20,class_weighted,0.3148,0.2849,0.4920
20,class_weighted,0.3054,0.3003,0.4497
20,class_weighted,0.2651,0.4264,0.2453
20,class_weighted,0.3071,0.3515,0.4162
20,class_weighted,0.2897,0.5030,0.2512
