Factor,Method,F1-Score,Correlation,Strength
1,class_weighted,0.1923,0.2367,0.6940
1,class_weighted,0.1722,0.2476,0.6889
1,class_weighted,0.1886,0.2387,0.6859
1,class_weighted,0.1722,0.2436,0.6789
1,class_weighted,0.1901,0.2439,0.6771
1,class_weighted,0.1807,0.2572,0.6899
1,class_weighted,0.1978,0.2280,0.6841
1,class_weighted,0.2013,0.2357,0.6808
1,class_weighted,0.2010,0.2243,0.6857
1,class_weighted,0.1931,0.2153,0.6708
1,class_weighted,0.2017,0.2194,0.6974
1,class_weighted,0.1811,0.2145,0.6786
1,class_weighted,0.1868,0.2208,0.6960
1,class_weighted,0.1658,0.2675,0.6670
1,class_weighted,0.1880,0.2592,0.6972
1,class_weighted,0.1716,0.2697,0.6771
1,class_weighted,0.1859,0.2407,0.6757
1,class_weighted,0.2019,0.2183,0.6723
1,class_weighted,0.1794,0.2534,0.6845
1,class_weighted,0.1665,0.2630,0.6643
2,class_weighted,0.2464,0.2565,0.7507
2,class_weighted,0.2170,0.2552,0.7393
2,class_weighted,0.1997,0.2605,0.7505
2,class_weighted,0.2092,0.2416,0.7424
2,class_weighted,0.2194,0.2290,0.7595
2,class_weighted,0.2224,0.2473,0.7458
2,class_weighted,0.2060,0.2894,0.7426
2,class_weighted,0.1966,0.2674,0.6776
2,class_weighted,0.2472,0.2161,0.7533
2,class_weighted,0.2061,0.2527,0.6781
2,class_weighted,0.2151,0.2624,0.7245
2,class_weighted,0.2366,0.2228,0.7456
2,class_weighted,0.2213,0.2408,0.7431
2,class_weighted,0.2359,0.2414,0.7377
2,class_weighted,0.2277,0.2222,0.7506
2,class_weighted,0.1919,0.2791,0.7444
2,class_weighted,0.2140,0.2578,0.7610
2,class_weighted,0.2099,0.2756,0.7427
2,class_weighted,0.2288,0.2411,0.7361
2,class_weighted,0.2077,0.2484,0.7570
3,class_weighted,0.1923,0.3039,0.7034
3,class_weighted,0.2186,0.2421,0.7391
3,class_weighted,0.1796,0.2679,0.7236
3,class_weighted,0.2312,0.2216,0.7291
3,class_weighted,0.2043,0.2621,0.7205
3,class_weighted,0.2017,0.2794,0.7187
3,class_weighted,0.2180,0.2522,0.7147
3,class_weighted,0.1993,0.2659,0.7215
3,class_weighted,0.2395,0.2406,0.7272
3,class_weighted,0.2346,0.2563,0.7425
3,class_weighted,0.2051,0.2526,0.7132
3,class_weighted,0.2302,0.2477,0.7883
3,class_weighted,0.1936,0.2959,0.7203
3,class_weighted,0.2222,0.2650,0.7329
3,class_weighted,0.2143,0.2454,0.7169
3,class_weighted,0.2265,0.2403,0.7281
3,class_weighted,0.2118,0.2554,0.7247
3,class_weighted,0.2311,0.2916,0.7912
3,class_weighted,0.2089,0.2649,0.7266
3,class_weighted,0.2271,0.2469,0.7285
4,class_weighted,0.2333,0.2550,0.7589
4,class_weighted,0.1969,0.2821,0.7390
4,class_weighted,0.2257,0.2634,0.7526
4,class_weighted,0.2272,0.2460,0.7465
4,class_weighted,0.2244,0.2811,0.7707
4,class_weighted,0.2330,0.2567,0.7663
4,class_weighted,0.2271,0.2684,0.7516
4,class_weighted,0.2439,0.2801,0.7694
4,class_weighted,0.2266,0.2675,0.7459
4,class_weighted,0.1999,0.2927,0.7450
4,class_weighted,0.2385,0.2465,0.7399
4,class_weighted,0.2249,0.2421,0.7589
4,class_weighted,0.2103,0.2732,0.7536
4,class_weighted,0.2551,0.2753,0.7550
4,class_weighted,0.2329,0.3191,0.7853
4,class_weighted,0.2443,0.2404,0.7547
5,class_weighted,0.2270,0.2278,0.7684
4,class_weighted,0.2480,0.2924,0.7704
4,class_weighted,0.2319,0.2840,0.7554
5,class_weighted,0.2615,0.2520,0.7908
4,class_weighted,0.1896,0.3028,0.7651
4,class_weighted,0.2425,0.2448,0.7521
5,class_weighted,0.2481,0.2860,0.7818
5,class_weighted,0.2453,0.2486,0.7958
5,class_weighted,0.2274,0.2357,0.7613
5,class_weighted,0.2474,0.2411,0.7634
5,class_weighted,0.2102,0.3006,0.7710
5,class_weighted,0.2181,0.2806,0.7626
5,class_weighted,0.2300,0.2842,0.7677
5,class_weighted,0.2237,0.3030,0.7620
5,class_weighted,0.2384,0.2819,0.7863
5,class_weighted,0.1995,0.2894,0.7623
5,class_weighted,0.2461,0.2437,0.7935
5,class_weighted,0.2461,0.2725,0.7753
5,class_weighted,0.2474,0.2856,0.7833
5,class_weighted,0.2504,0.2562,0.7902
5,class_weighted,0.2564,0.2581,0.7776
5,class_weighted,0.2429,0.2706,0.7947
5,class_weighted,0.2417,0.2905,0.7801
5,class_weighted,0.2559,0.2311,0.7833
10,class_weighted,0.2031,0.3512,0.8061
10,class_weighted,0.2608,0.3066,0.8349
10,class_weighted,0.2439,0.3276,0.8391
10,class_weighted,0.2373,0.3093,0.8274
10,class_weighted,0.2039,0.3255,0.6523
10,class_weighted,0.2855,0.3011,0.8307
10,class_weighted,0.2498,0.3202,0.8364
10,class_weighted,0.2784,0.3010,0.8367
10,class_weighted,0.2335,0.3237,0.8190
10,class_weighted,0.2542,0.3151,0.8069
10,class_weighted,0.2512,0.2967,0.8318
10,class_weighted,0.2466,0.2869,0.8309
10,class_weighted,0.2263,0.4261,0.8534
10,class_weighted,0.2246,0.3364,0.8324
10,class_weighted,0.2694,0.3152,0.8335
10,class_weighted,0.2683,0.2836,0.8271
10,class_weighted,0.2620,0.3127,0.8362
10,class_weighted,0.2442,0.3145,0.8194
10,class_weighted,0.2681,0.3103,0.8284
10,class_weighted,0.2741,0.2753,0.8283
15,class_weighted,0.2017,0.3526,0.8326
15,class_weighted,0.1682,0.3409,0.6422
15,class_weighted,0.3054,0.3048,0.8571
15,class_weighted,0.2794,0.3295,0.8504
15,class_weighted,0.2005,0.3171,0.6561
15,class_weighted,0.1665,0.3579,0.6253
15,class_weighted,0.1731,0.2907,0.6317
15,class_weighted,0.2706,0.3105,0.8404
15,class_weighted,0.2224,0.3397,0.8446
15,class_weighted,0.2673,0.3079,0.8404
15,class_weighted,0.2065,0.4088,0.8551
15,class_weighted,0.1852,0.3230,0.6440
15,class_weighted,0.3146,0.3275,0.8473
15,class_weighted,0.1622,0.2875,0.6135
15,class_weighted,0.1709,0.3112,0.6415
15,class_weighted,0.2809,0.3305,0.8519
15,class_weighted,0.2707,0.3171,0.8429
15,class_weighted,0.2557,0.3362,0.8445
15,class_weighted,0.2276,0.3471,0.8395
15,class_weighted,0.1761,0.2886,0.6081
20,class_weighted,0.1766,0.3431,0.6622
20,class_weighted,0.2163,0.3103,0.6950
20,class_weighted,0.1748,0.3716,0.6571
20,class_weighted,0.1879,0.3154,0.6566
20,class_weighted,0.1938,0.3010,0.6210
20,class_weighted,0.1879,0.3823,0.6540
20,class_weighted,0.2064,0.3199,0.6645
20,class_weighted,0.3033,0.3276,0.8520
20,class_weighted,0.1818,0.3453,0.5981
20,class_weighted,0.1819,0.3375,0.6286
20,class_weighted,0.1425,0.3457,0.6464
20,class_weighted,0.1859,0.3316,0.7102
20,class_weighted,0.1611,0.3217,0.6185
20,class_weighted,0.2479,0.3626,0.8529
20,class_weighted,0.2491,0.3688,0.8496
20,class_weighted,0.1838,0.3200,0.6730
20,class_weighted,0.2236,0.2978,0.6581
20,class_weighted,0.2117,0.3597,0.8305
20,class_weighted,0.1515,0.3570,0.5940
20,class_weighted,0.2827,0.3528,0.8564
