Factor,Method,F1-Score,Correlation,Strength
1,standard,0.2561,0.4710,0.8962
1,standard,0.2323,0.4880,0.8958
1,standard,0.2077,0.5115,0.8927
1,standard,0.2825,0.4823,0.9038
1,standard,0.2220,0.4968,0.8921
1,standard,0.2639,0.4856,0.8988
1,standard,0.2369,0.5083,0.9002
1,standard,0.2358,0.4841,0.8957
1,standard,0.2048,0.5488,0.9001
1,standard,0.2704,0.4560,0.8965
1,standard,0.1688,0.5221,0.8842
1,standard,0.2355,0.4713,0.8929
1,standard,0.2297,0.4866,0.8939
1,standard,0.2206,0.4897,0.8933
1,standard,0.2432,0.4694,0.8945
1,standard,0.1841,0.5290,0.8878
1,standard,0.2408,0.4734,0.8947
1,standard,0.2234,0.5075,0.9005
1,standard,0.2425,0.4978,0.8972
1,standard,0.1954,0.5291,0.8949
2,standard,0.2953,0.4623,0.8956
2,standard,0.2770,0.4683,0.8983
2,standard,0.2682,0.5006,0.8968
2,standard,0.2675,0.5130,0.8985
2,standard,0.2591,0.5196,0.9032
2,standard,0.2811,0.4624,0.8983
2,standard,0.2786,0.5062,0.9031
2,standard,0.2728,0.5071,0.9024
2,standard,0.2302,0.5436,0.9004
2,standard,0.2761,0.4677,0.8980
2,standard,0.2244,0.5117,0.8924
2,standard,0.2762,0.4868,0.8974
2,standard,0.2767,0.5161,0.9032
2,standard,0.2655,0.4730,0.8874
2,standard,0.1999,0.5404,0.8932
2,standard,0.2232,0.5410,0.8976
2,standard,0.2587,0.5032,0.8997
2,standard,0.2571,0.4800,0.8954
2,standard,0.2323,0.5109,0.8935
2,standard,0.3045,0.4657,0.9001
3,standard,0.3118,0.4586,0.8932
3,standard,0.2558,0.5014,0.8958
3,standard,0.2448,0.5212,0.8994
3,standard,0.2788,0.5352,0.8965
3,standard,0.3197,0.4532,0.9002
3,standard,0.2865,0.5124,0.9012
3,standard,0.3388,0.4249,0.8935
3,standard,0.3061,0.4859,0.8988
3,standard,0.2954,0.5206,0.8977
3,standard,0.2177,0.5517,0.9006
3,standard,0.2265,0.5277,0.8911
3,standard,0.2792,0.5126,0.9014
3,standard,0.3434,0.4932,0.9130
3,standard,0.2907,0.4938,0.8989
3,standard,0.2705,0.5421,0.9031
3,standard,0.3146,0.4680,0.8971
3,standard,0.3371,0.4384,0.9008
3,standard,0.2813,0.5010,0.8964
3,standard,0.2357,0.5161,0.8897
3,standard,0.2480,0.5425,0.8977
