Factor,Method,F1-Score,Correlation,Strength
1,undersampling,0.1382,0.1529,0.3754
1,undersampling,0.1436,0.1584,0.3622
1,undersampling,0.1297,0.1625,0.3653
1,undersampling,0.1311,0.1585,0.3780
1,undersampling,0.1299,0.1626,0.3449
1,undersampling,0.1305,0.1566,0.3690
1,undersampling,0.1223,0.1695,0.3741
1,undersampling,0.1275,0.1510,0.3865
2,undersampling,0.1487,0.1933,0.4633
2,undersampling,0.1506,0.1970,0.4896
2,undersampling,0.1453,0.2166,0.4535
2,undersampling,0.1326,0.2200,0.4803
1,undersampling,0.1353,0.1601,0.3608
1,undersampling,0.1356,0.1726,0.3672
3,undersampling,0.1582,0.2057,0.5507
1,undersampling,0.1389,0.1742,0.3905
3,undersampling,0.1540,0.2249,0.5300
3,undersampling,0.1567,0.2252,0.5533
3,undersampling,0.1691,0.2067,0.5620
3,undersampling,0.1623,0.2172,0.5664
3,undersampling,0.1639,0.2081,0.5537
3,undersampling,0.1642,0.2090,0.5621
3,undersampling,0.1795,0.1783,0.5467
3,undersampling,0.1682,0.2220,0.5586
3,undersampling,0.1590,0.2193,0.5498
1,undersampling,0.1291,0.1641,0.3929
3,undersampling,0.1670,0.1975,0.5538
3,undersampling,0.1627,0.2320,0.5526
3,undersampling,0.1639,0.2209,0.5498
3,undersampling,0.1656,0.1715,0.5483
3,undersampling,0.1573,0.1893,0.5315
3,undersampling,0.1843,0.1987,0.5754
3,undersampling,0.1652,0.1960,0.5385
3,undersampling,0.1662,0.1963,0.5402
3,undersampling,0.1788,0.2094,0.5358
3,undersampling,0.1598,0.1967,0.5398
1,undersampling,0.1286,0.1848,0.3965
1,undersampling,0.1313,0.1608,0.3804
1,undersampling,0.1206,0.1780,0.3791
1,undersampling,0.1328,0.1622,0.3793
1,undersampling,0.1349,0.1539,0.3670
1,undersampling,0.1344,0.1534,0.3749
4,undersampling,0.1616,0.2434,0.5858
4,undersampling,0.1737,0.2123,0.6042
4,undersampling,0.1786,0.2070,0.6202
4,undersampling,0.1674,0.2069,0.5926
4,undersampling,0.1793,0.2339,0.6097
4,undersampling,0.1802,0.1978,0.6080
4,undersampling,0.1796,0.2288,0.5969
4,undersampling,0.1885,0.2082,0.5927
4,undersampling,0.1607,0.2298,0.5796
4,undersampling,0.1885,0.2053,0.6045
4,undersampling,0.1725,0.2277,0.5810
4,undersampling,0.1704,0.2245,0.6103
4,undersampling,0.1713,0.2167,0.6092
4,undersampling,0.1800,0.1884,0.6068
4,undersampling,0.1602,0.2443,0.5904
4,undersampling,0.1741,0.2236,0.5979
4,undersampling,0.1922,0.2059,0.5935
4,undersampling,0.1786,0.2083,0.5933
4,undersampling,0.1691,0.2261,0.5814
4,undersampling,0.1863,0.2243,0.6020
1,undersampling,0.1211,0.1789,0.3974
1,undersampling,0.1389,0.1528,0.3602
5,undersampling,0.1754,0.2467,0.6309
5,undersampling,0.1899,0.2129,0.6345
2,undersampling,0.1415,0.1884,0.4750
2,undersampling,0.1510,0.1697,0.4846
2,undersampling,0.1496,0.1672,0.4917
2,undersampling,0.1438,0.1920,0.4873
2,undersampling,0.1495,0.1783,0.4968
2,undersampling,0.1539,0.1783,0.4777
2,undersampling,0.1523,0.2042,0.4885
2,undersampling,0.1522,0.1908,0.4870
2,undersampling,0.1492,0.1718,0.4686
2,undersampling,0.1423,0.1857,0.4961
2,undersampling,0.1456,0.1930,0.4847
2,undersampling,0.1532,0.1953,0.4912
2,undersampling,0.1609,0.1920,0.4934
2,undersampling,0.1391,0.1901,0.4948
2,undersampling,0.1586,0.1869,0.4874
2,undersampling,0.1657,0.1675,0.4846
5,undersampling,0.2088,0.2386,0.6166
5,undersampling,0.1735,0.2181,0.6284
5,undersampling,0.1668,0.2415,0.6136
5,undersampling,0.1718,0.2382,0.6437
5,undersampling,0.1822,0.2323,0.6496
5,undersampling,0.1948,0.2175,0.6160
5,undersampling,0.2121,0.2027,0.6387
5,undersampling,0.1988,0.2225,0.6458
5,undersampling,0.2150,0.2257,0.6550
5,undersampling,0.1919,0.2250,0.6493
5,undersampling,0.1866,0.2297,0.6322
5,undersampling,0.1672,0.2224,0.6290
5,undersampling,0.1898,0.2115,0.6311
5,undersampling,0.1825,0.2191,0.6210
5,undersampling,0.1993,0.2047,0.6361
5,undersampling,0.1976,0.2240,0.6275
5,undersampling,0.1988,0.2352,0.6308
5,undersampling,0.1871,0.2482,0.6423
10,undersampling,0.2121,0.2290,0.7032
10,undersampling,0.2220,0.2198,0.7015
10,undersampling,0.2327,0.2450,0.7461
10,undersampling,0.2164,0.2619,0.7461
10,undersampling,0.2164,0.2405,0.7533
10,undersampling,0.2452,0.2252,0.7432
10,undersampling,0.1856,0.2627,0.7593
10,undersampling,0.2223,0.2651,0.7122
10,undersampling,0.2170,0.2644,0.7420
10,undersampling,0.2539,0.2392,0.7543
10,undersampling,0.2485,0.2383,0.7488
10,undersampling,0.2218,0.2460,0.7463
10,undersampling,0.2312,0.2522,0.7503
10,undersampling,0.2242,0.2586,0.7503
10,undersampling,0.2101,0.2314,0.7569
10,undersampling,0.2055,0.2805,0.7495
10,undersampling,0.2379,0.2361,0.7531
10,undersampling,0.2301,0.2694,0.7492
10,undersampling,0.2098,0.2554,0.7468
10,undersampling,0.2339,0.2472,0.7596
15,undersampling,0.2138,0.3048,0.7671
15,undersampling,0.2310,0.2522,0.7764
15,undersampling,0.2631,0.2707,0.7971
15,undersampling,0.2183,0.2988,0.8107
15,undersampling,0.2424,0.2708,0.7862
15,undersampling,0.2253,0.2654,0.7892
15,undersampling,0.2313,0.2738,0.7718
15,undersampling,0.1967,0.2609,0.6454
15,undersampling,0.2543,0.2631,0.7858
15,undersampling,0.2626,0.2599,0.7995
15,undersampling,0.2012,0.2476,0.6676
15,undersampling,0.2121,0.2769,0.7933
15,undersampling,0.2417,0.2761,0.7835
15,undersampling,0.2127,0.3214,0.8086
15,undersampling,0.2293,0.2849,0.7835
15,undersampling,0.2570,0.2835,0.8054
15,undersampling,0.2485,0.2824,0.7924
15,undersampling,0.2539,0.2803,0.7992
15,undersampling,0.2580,0.2862,0.8091
15,undersampling,0.2329,0.2835,0.7887
20,undersampling,0.2013,0.2519,0.6945
20,undersampling,0.2170,0.2670,0.6873
20,undersampling,0.1896,0.2668,0.6874
20,undersampling,0.2160,0.2847,0.6771
20,undersampling,0.2036,0.2862,0.7044
20,undersampling,0.2213,0.2540,0.7090
20,undersampling,0.1910,0.2493,0.6840
20,undersampling,0.1912,0.3032,0.6904
20,undersampling,0.2220,0.2611,0.6826
20,undersampling,0.2042,0.2859,0.6841
20,undersampling,0.2265,0.2810,0.7100
20,undersampling,0.2000,0.3059,0.6754
20,undersampling,0.2189,0.2654,0.6926
20,undersampling,0.2061,0.2776,0.6937
20,undersampling,0.1992,0.2776,0.6887
20,undersampling,0.1922,0.2867,0.7030
20,undersampling,0.2258,0.2686,0.6766
20,undersampling,0.2108,0.2698,0.6859
20,undersampling,0.2352,0.2344,0.7031
20,undersampling,0.2067,0.2381,0.6823
