Factor, Method, F-score, Precision, Recall
1,standard,0.1349,0.7010,0.0769
1,standard,0.1659,0.5933,0.0985
1,standard,0.1416,0.6468,0.0823
1,standard,0.1252,0.6083,0.0715
1,standard,0.1246,0.5238,0.0712
1,standard,0.1428,0.6811,0.0820
1,standard,0.1699,0.6976,0.0983
1,standard,0.1253,0.5633,0.0713
1,standard,0.1389,0.6250,0.0817
1,standard,0.1333,0.5750,0.0770
1,standard,0.1424,0.5700,0.0817
1,standard,0.1518,0.6267,0.0872
1,standard,0.1003,0.6000,0.0548
1,standard,0.1230,0.4762,0.0712
1,standard,0.1605,0.6429,0.0925
1,standard,0.1516,0.6711,0.0872
1,standard,0.1078,0.5533,0.0604
1,standard,0.1355,0.4450,0.0818
1,standard,0.1782,0.8270,0.1041
1,standard,0.1362,0.6367,0.0764
2,standard,0.2841,0.7781,0.1811
2,standard,0.3245,0.7580,0.2077
2,standard,0.2762,0.6843,0.1749
2,standard,0.3165,0.6220,0.2135
2,standard,0.3262,0.7151,0.2132
2,standard,0.3147,0.7506,0.2023
2,standard,0.3059,0.6528,0.2029
2,standard,0.3064,0.7330,0.1967
2,standard,0.2986,0.7150,0.1961
2,standard,0.2860,0.6362,0.1857
2,standard,0.3111,0.6482,0.2074
2,standard,0.3119,0.7041,0.2026
2,standard,0.3183,0.6861,0.2075
2,standard,0.3445,0.7246,0.2290
2,standard,0.2942,0.7314,0.1910
2,standard,0.3252,0.7132,0.2131
2,standard,0.3412,0.7433,0.2237
2,standard,0.3256,0.7082,0.2131
2,standard,0.3030,0.6317,0.2023
2,standard,0.3257,0.7237,0.2134
3,standard,0.3371,0.7106,0.2245
3,standard,0.3515,0.6403,0.2459
3,standard,0.3085,0.6983,0.2017
3,standard,0.2880,0.6428,0.1916
3,standard,0.3314,0.6732,0.2243
3,standard,0.3560,0.6428,0.2515
3,standard,0.3320,0.6700,0.2246
3,standard,0.3271,0.6352,0.2294
3,standard,0.3557,0.6208,0.2514
3,standard,0.3319,0.7015,0.2237
3,standard,0.2783,0.5659,0.1854
3,standard,0.3228,0.6346,0.2183
3,standard,0.3033,0.6187,0.2075
3,standard,0.3381,0.6616,0.2300
3,standard,0.3247,0.6803,0.2189
3,standard,0.3129,0.6452,0.2132
3,standard,0.3243,0.6833,0.2135
3,standard,0.3456,0.6871,0.2354
3,standard,0.3090,0.6973,0.2020
3,standard,0.2923,0.6239,0.1913
4,standard,0.3172,0.6286,0.2186
4,standard,0.3258,0.6992,0.2179
4,standard,0.3155,0.5538,0.2239
4,standard,0.3516,0.7433,0.2353
4,standard,0.2922,0.5841,0.1968
4,standard,0.3193,0.6989,0.2078
4,standard,0.3065,0.6539,0.2026
4,standard,0.3004,0.5970,0.2026
4,standard,0.3584,0.7144,0.2404
4,standard,0.3756,0.7547,0.2512
4,standard,0.3405,0.6966,0.2294
4,standard,0.3073,0.6168,0.2087
4,standard,0.3612,0.6129,0.2569
4,standard,0.3356,0.6420,0.2291
4,standard,0.3590,0.6436,0.2518
4,standard,0.3239,0.5919,0.2246
4,standard,0.2928,0.6585,0.1910
4,standard,0.3762,0.7188,0.2571
4,standard,0.3495,0.6962,0.2354
4,standard,0.3484,0.6833,0.2353
5,standard,0.3389,0.7124,0.2240
5,standard,0.3187,0.5958,0.2188
5,standard,0.3632,0.6492,0.2614
5,standard,0.2636,0.4910,0.1862
5,standard,0.3163,0.5538,0.2240
5,standard,0.3012,0.6644,0.1971
5,standard,0.3295,0.5875,0.2297
5,standard,0.3984,0.6448,0.2898
5,standard,0.3280,0.6840,0.2185
5,standard,0.2872,0.5556,0.1967
5,standard,0.3333,0.6186,0.2347
5,standard,0.3764,0.6882,0.2625
5,standard,0.3565,0.6624,0.2455
5,standard,0.3357,0.6369,0.2299
5,standard,0.3341,0.6422,0.2287
5,standard,0.3063,0.6805,0.2018
5,standard,0.3572,0.6667,0.2509
5,standard,0.2932,0.6267,0.1916
5,standard,0.3594,0.7248,0.2455
5,standard,0.3096,0.6529,0.2135
10,standard,0.3372,0.6856,0.2293
10,standard,0.3272,0.5650,0.2356
10,standard,0.4140,0.7480,0.2958
10,standard,0.4066,0.6937,0.2898
10,standard,0.3421,0.6537,0.2351
10,standard,0.3258,0.5442,0.2344
10,standard,0.3681,0.6133,0.2671
10,standard,0.3883,0.6587,0.2791
10,standard,0.3620,0.7016,0.2520
10,standard,0.3420,0.5884,0.2459
10,standard,0.3276,0.6192,0.2243
10,standard,0.3570,0.6299,0.2515
10,standard,0.3273,0.6527,0.2240
10,standard,0.3538,0.6447,0.2456
10,standard,0.3615,0.6608,0.2508
10,standard,0.3625,0.5960,0.2631
10,standard,0.3909,0.6376,0.2842
10,standard,0.3639,0.6693,0.2515
10,standard,0.3114,0.6020,0.2123
10,standard,0.3803,0.6866,0.2677
15,standard,0.3355,0.5379,0.2459
15,standard,0.3891,0.6471,0.2836
15,standard,0.3371,0.5259,0.2511
15,standard,0.3210,0.5113,0.2404
15,standard,0.3602,0.6449,0.2514
15,standard,0.3335,0.6445,0.2291
15,standard,0.3932,0.6413,0.2839
15,standard,0.3845,0.6285,0.2788
15,standard,0.3840,0.6662,0.2784
15,standard,0.3582,0.5840,0.2626
15,standard,0.3581,0.5971,0.2629
15,standard,0.3716,0.6077,0.2728
15,standard,0.3454,0.5942,0.2459
15,standard,0.3966,0.6671,0.2841
15,standard,0.3568,0.6491,0.2514
15,standard,0.3334,0.6204,0.2300
15,standard,0.3858,0.6625,0.2787
15,standard,0.3223,0.5797,0.2287
15,standard,0.3081,0.5711,0.2128
15,standard,0.3522,0.6807,0.2407
20,standard,0.3513,0.5883,0.2521
20,standard,0.3392,0.5639,0.2458
20,standard,0.3063,0.5169,0.2186
20,standard,0.3477,0.6264,0.2560
20,standard,0.2936,0.5683,0.2024
20,standard,0.2996,0.5218,0.2128
20,standard,0.3269,0.6881,0.2185
20,standard,0.3332,0.6438,0.2303
20,standard,0.3385,0.6006,0.2399
20,standard,0.3628,0.6425,0.2568
20,standard,0.3461,0.6499,0.2401
20,standard,0.3803,0.6433,0.2785
20,standard,0.3645,0.6580,0.2568
20,standard,0.3702,0.6253,0.2682
20,standard,0.3656,0.5858,0.2730
20,standard,0.3316,0.5883,0.2404
20,standard,0.3165,0.5286,0.2294
20,standard,0.3574,0.6441,0.2509
20,standard,0.3142,0.5601,0.2188
20,standard,0.3154,0.6156,0.2134
