Factor, Method, F-score, Precision, Recall
1,undersampling,0.2391,0.1400,0.8204
1,undersampling,0.2403,0.1411,0.8150
1,undersampling,0.2291,0.1342,0.7812
1,undersampling,0.2277,0.1332,0.7871
1,undersampling,0.2280,0.1341,0.7641
1,undersampling,0.2300,0.1350,0.7763
1,undersampling,0.2357,0.1386,0.7874
1,undersampling,0.2341,0.1401,0.7221
2,undersampling,0.2823,0.1757,0.7261
2,undersampling,0.2824,0.1751,0.7324
2,undersampling,0.2873,0.1808,0.7102
2,undersampling,0.2982,0.1860,0.7539
1,undersampling,0.2375,0.1395,0.8036
1,undersampling,0.2377,0.1394,0.8143
3,undersampling,0.3128,0.2055,0.6551
1,undersampling,0.2324,0.1381,0.7380
3,undersampling,0.3141,0.2039,0.6890
3,undersampling,0.3197,0.2091,0.6827
3,undersampling,0.3214,0.2094,0.6938
3,undersampling,0.3179,0.2062,0.6994
3,undersampling,0.3328,0.2174,0.7105
3,undersampling,0.3162,0.2056,0.6935
1,undersampling,0.2405,0.1416,0.7976
3,undersampling,0.3347,0.2176,0.7272
3,undersampling,0.3164,0.2061,0.6835
3,undersampling,0.3153,0.2058,0.6767
3,undersampling,0.3102,0.2038,0.6500
3,undersampling,0.3177,0.2077,0.6776
3,undersampling,0.3312,0.2156,0.7161
3,undersampling,0.3211,0.2099,0.6833
3,undersampling,0.3121,0.2046,0.6617
3,undersampling,0.3088,0.2014,0.6673
3,undersampling,0.3186,0.2084,0.6782
3,undersampling,0.3021,0.1951,0.6713
3,undersampling,0.3348,0.2205,0.7053
3,undersampling,0.3310,0.2156,0.7221
1,undersampling,0.2306,0.1358,0.7707
1,undersampling,0.2326,0.1376,0.7544
1,undersampling,0.2297,0.1351,0.7697
1,undersampling,0.2254,0.1335,0.7273
1,undersampling,0.2302,0.1348,0.7935
1,undersampling,0.2193,0.1306,0.6889
4,undersampling,0.3399,0.2309,0.6446
4,undersampling,0.3356,0.2285,0.6341
4,undersampling,0.3457,0.2349,0.6560
4,undersampling,0.3478,0.2380,0.6505
4,undersampling,0.3281,0.2227,0.6231
4,undersampling,0.3332,0.2263,0.6339
4,undersampling,0.3547,0.2424,0.6610
4,undersampling,0.3617,0.2465,0.6829
4,undersampling,0.3244,0.2205,0.6171
4,undersampling,0.3620,0.2451,0.6938
4,undersampling,0.3434,0.2347,0.6446
4,undersampling,0.3406,0.2321,0.6438
4,undersampling,0.3415,0.2325,0.6444
4,undersampling,0.3445,0.2380,0.6341
4,undersampling,0.3636,0.2482,0.6826
4,undersampling,0.3657,0.2483,0.6988
4,undersampling,0.3654,0.2491,0.6892
4,undersampling,0.3310,0.2278,0.6062
4,undersampling,0.3378,0.2329,0.6228
4,undersampling,0.3601,0.2459,0.6784
1,undersampling,0.2316,0.1352,0.8089
1,undersampling,0.2302,0.1347,0.7928
5,undersampling,0.3743,0.2679,0.6282
5,undersampling,0.3503,0.2506,0.5899
2,undersampling,0.2792,0.1733,0.7210
2,undersampling,0.2681,0.1682,0.6617
2,undersampling,0.2782,0.1735,0.7056
2,undersampling,0.2941,0.1824,0.7652
2,undersampling,0.2777,0.1739,0.6931
2,undersampling,0.2766,0.1706,0.7323
2,undersampling,0.2877,0.1773,0.7652
2,undersampling,0.2811,0.1751,0.7156
2,undersampling,0.2873,0.1799,0.7213
2,undersampling,0.2907,0.1808,0.7428
2,undersampling,0.2801,0.1739,0.7219
2,undersampling,0.2755,0.1707,0.7158
2,undersampling,0.2885,0.1794,0.7383
2,undersampling,0.2877,0.1784,0.7429
2,undersampling,0.2882,0.1798,0.7324
2,undersampling,0.3009,0.1870,0.7706
5,undersampling,0.3738,0.2678,0.6297
5,undersampling,0.3595,0.2537,0.6179
5,undersampling,0.3431,0.2460,0.5682
5,undersampling,0.3472,0.2481,0.5841
5,undersampling,0.3744,0.2671,0.6282
5,undersampling,0.3755,0.2703,0.6227
5,undersampling,0.3745,0.2660,0.6341
5,undersampling,0.3696,0.2641,0.6177
5,undersampling,0.3755,0.2680,0.6291
5,undersampling,0.3541,0.2520,0.5962
5,undersampling,0.3676,0.2647,0.6066
5,undersampling,0.3756,0.2694,0.6227
5,undersampling,0.3792,0.2699,0.6392
5,undersampling,0.3395,0.2431,0.5692
5,undersampling,0.3851,0.2746,0.6452
5,undersampling,0.3828,0.2752,0.6392
5,undersampling,0.3596,0.2572,0.6014
5,undersampling,0.3831,0.2727,0.6503
10,undersampling,0.3971,0.3299,0.5024
10,undersampling,0.3999,0.3428,0.4860
10,undersampling,0.4105,0.3631,0.4811
10,undersampling,0.4227,0.3813,0.4970
10,undersampling,0.3958,0.3732,0.4264
10,undersampling,0.4522,0.4205,0.4976
10,undersampling,0.4189,0.3926,0.4587
10,undersampling,0.4205,0.3722,0.4925
10,undersampling,0.3903,0.3465,0.4483
10,undersampling,0.3969,0.3499,0.4587
10,undersampling,0.4223,0.3872,0.4649
10,undersampling,0.4157,0.3817,0.4590
10,undersampling,0.4165,0.3791,0.4652
10,undersampling,0.4384,0.4056,0.4808
10,undersampling,0.3896,0.3618,0.4315
10,undersampling,0.4047,0.3576,0.4689
10,undersampling,0.4239,0.3975,0.4593
10,undersampling,0.4143,0.3782,0.4647
10,undersampling,0.4091,0.3755,0.4536
10,undersampling,0.3823,0.3256,0.4961
15,undersampling,0.3733,0.4107,0.3495
15,undersampling,0.4172,0.4611,0.3874
15,undersampling,0.4496,0.5109,0.4098
15,undersampling,0.3877,0.4164,0.3985
15,undersampling,0.3970,0.3670,0.4700
15,undersampling,0.4365,0.4747,0.4095
15,undersampling,0.4009,0.4244,0.3833
15,undersampling,0.3836,0.3050,0.5362
15,undersampling,0.4125,0.3824,0.4928
15,undersampling,0.4080,0.4408,0.3827
15,undersampling,0.4342,0.4733,0.4044
15,undersampling,0.4226,0.4759,0.3878
15,undersampling,0.4103,0.4456,0.3823
15,undersampling,0.4108,0.4623,0.3713
15,undersampling,0.3922,0.4451,0.3556
15,undersampling,0.3572,0.3020,0.4685
15,undersampling,0.4081,0.4097,0.4092
15,undersampling,0.4106,0.4798,0.3613
15,undersampling,0.4075,0.4029,0.4688
15,undersampling,0.3707,0.3843,0.3611
20,undersampling,0.3902,0.3168,0.5138
20,undersampling,0.3901,0.3711,0.4758
20,undersampling,0.4117,0.3304,0.5515
